time,pitch,Syllable1,Syllable2,Normtime,speaker,pitch_con
21,6.687828708,1,3,_HLAC4,s1,_HLAC4_s1_1
22,4.456120321,1,3,_HLAC4,s1,_HLAC4_s1_1
23,0.313193271,1,3,_HLAC4,s1,_HLAC4_s1_1
24,-5.98600432,1,3,_HLAC4,s1,_HLAC4_s1_1
25,-13.64101364,1,3,_HLAC4,s1,_HLAC4_s1_1
26,-24.54369212,1,3,_HLAC4,s1,_HLAC4_s1_1
27,-37.80871992,1,3,_HLAC4,s1,_HLAC4_s1_1
28,-53.98804489,1,3,_HLAC4,s1,_HLAC4_s1_1
29,-74.55703374,1,3,_HLAC4,s1,_HLAC4_s1_1
30,-99.39762307,1,3,_HLAC4,s1,_HLAC4_s1_1
1,-134.5393223,1,3,_HLAC4,s1,_HLAC4_s1_2
2,-171.0544932,1,3,_HLAC4,s1,_HLAC4_s1_2
3,-208.4224212,1,3,_HLAC4,s1,_HLAC4_s1_2
4,-246.7883981,1,3,_HLAC4,s1,_HLAC4_s1_2
5,-283.511536,1,3,_HLAC4,s1,_HLAC4_s1_2
6,-317.3161332,1,3,_HLAC4,s1,_HLAC4_s1_2
7,-346.6302289,1,3,_HLAC4,s1,_HLAC4_s1_2
8,-366.2308762,1,3,_HLAC4,s1,_HLAC4_s1_2
9,-380.6636478,1,3,_HLAC4,s1,_HLAC4_s1_2
10,-387.3972794,1,3,_HLAC4,s1,_HLAC4_s1_2
11,-385.219254,1,3,_HLAC4,s1,_HLAC4_s1_2
12,-377.8281304,1,3,_HLAC4,s1,_HLAC4_s1_2
13,-361.9485709,1,3,_HLAC4,s1,_HLAC4_s1_2
14,-338.5921203,1,3,_HLAC4,s1,_HLAC4_s1_2
15,-310.6433284,1,3,_HLAC4,s1,_HLAC4_s1_2
16,-275.8921881,1,3,_HLAC4,s1,_HLAC4_s1_2
17,-239.2569027,1,3,_HLAC4,s1,_HLAC4_s1_2
18,-201.5341225,1,3,_HLAC4,s1,_HLAC4_s1_2
19,-165.5848131,1,3,_HLAC4,s1,_HLAC4_s1_2
20,-133.3251626,1,3,_HLAC4,s1,_HLAC4_s1_2
21,-104.3507881,1,3,_HLAC4,s1,_HLAC4_s1_2
22,-83.95024735,1,3,_HLAC4,s1,_HLAC4_s1_2
23,-67.04216211,1,3,_HLAC4,s1,_HLAC4_s1_2
24,-54.28580912,1,3,_HLAC4,s1,_HLAC4_s1_2
25,-50.89196599,1,3,_HLAC4,s1,_HLAC4_s1_2
26,-48.36212253,1,3,_HLAC4,s1,_HLAC4_s1_2
27,-45.75121617,1,3,_HLAC4,s1,_HLAC4_s1_2
28,-42.04633762,1,3,_HLAC4,s1,_HLAC4_s1_2
29,-39.27352544,1,3,_HLAC4,s1,_HLAC4_s1_2
30,-39.27352544,1,3,_HLAC4,s1,_HLAC4_s1_2
1,182.4049498,1,3,_HLAC4,s2,_HLAC4_s2_1
2,187.8107869,1,3,_HLAC4,s2,_HLAC4_s2_1
3,191.5825312,1,3,_HLAC4,s2,_HLAC4_s2_1
4,193.002085,1,3,_HLAC4,s2,_HLAC4_s2_1
5,193.7416733,1,3,_HLAC4,s2,_HLAC4_s2_1
6,193.664383,1,3,_HLAC4,s2,_HLAC4_s2_1
7,191.3498121,1,3,_HLAC4,s2,_HLAC4_s2_1
8,186.0551214,1,3,_HLAC4,s2,_HLAC4_s2_1
9,178.9453115,1,3,_HLAC4,s2,_HLAC4_s2_1
10,169.218016,1,3,_HLAC4,s2,_HLAC4_s2_1
11,159.0911024,1,3,_HLAC4,s2,_HLAC4_s2_1
12,148.4942656,1,3,_HLAC4,s2,_HLAC4_s2_1
13,139.9578007,1,3,_HLAC4,s2,_HLAC4_s2_1
14,132.3201099,1,3,_HLAC4,s2,_HLAC4_s2_1
15,126.202683,1,3,_HLAC4,s2,_HLAC4_s2_1
16,121.0500796,1,3,_HLAC4,s2,_HLAC4_s2_1
17,116.158618,1,3,_HLAC4,s2,_HLAC4_s2_1
18,109.6920775,1,3,_HLAC4,s2,_HLAC4_s2_1
19,100.1546023,1,3,_HLAC4,s2,_HLAC4_s2_1
20,87.65737482,1,3,_HLAC4,s2,_HLAC4_s2_1
21,67.37020599,1,3,_HLAC4,s2,_HLAC4_s2_1
22,42.88171731,1,3,_HLAC4,s2,_HLAC4_s2_1
23,11.22460886,1,3,_HLAC4,s2,_HLAC4_s2_1
24,-25.9618676,1,3,_HLAC4,s2,_HLAC4_s2_1
25,-65.54891254,1,3,_HLAC4,s2,_HLAC4_s2_1
26,-107.6946064,1,3,_HLAC4,s2,_HLAC4_s2_1
27,-152.4011976,1,3,_HLAC4,s2,_HLAC4_s2_1
28,-199.1292294,1,3,_HLAC4,s2,_HLAC4_s2_1
29,-251.8306008,1,3,_HLAC4,s2,_HLAC4_s2_1
30,-313.4947284,1,3,_HLAC4,s2,_HLAC4_s2_1
1,-389.5463245,1,3,_HLAC4,s2,_HLAC4_s2_2
2,-454.8613125,1,3,_HLAC4,s2,_HLAC4_s2_2
3,-520.2337575,1,3,_HLAC4,s2,_HLAC4_s2_2
4,-586.2949033,1,3,_HLAC4,s2,_HLAC4_s2_2
5,-650.8616774,1,3,_HLAC4,s2,_HLAC4_s2_2
6,-707.2196075,1,3,_HLAC4,s2,_HLAC4_s2_2
7,-756.8933265,1,3,_HLAC4,s2,_HLAC4_s2_2
8,-784.3167589,1,3,_HLAC4,s2,_HLAC4_s2_2
9,-800.8629056,1,3,_HLAC4,s2,_HLAC4_s2_2
10,-792.9722831,1,3,_HLAC4,s2,_HLAC4_s2_2
11,-771.6978674,1,3,_HLAC4,s2,_HLAC4_s2_2
12,-729.045925,1,3,_HLAC4,s2,_HLAC4_s2_2
13,-672.154783,1,3,_HLAC4,s2,_HLAC4_s2_2
14,-598.6836397,1,3,_HLAC4,s2,_HLAC4_s2_2
15,-519.5528895,1,3,_HLAC4,s2,_HLAC4_s2_2
16,-435.5820854,1,3,_HLAC4,s2,_HLAC4_s2_2
17,-354.5819441,1,3,_HLAC4,s2,_HLAC4_s2_2
18,-275.4333976,1,3,_HLAC4,s2,_HLAC4_s2_2
19,-208.0134136,1,3,_HLAC4,s2,_HLAC4_s2_2
20,-145.7883336,1,3,_HLAC4,s2,_HLAC4_s2_2
21,-101.6926773,1,3,_HLAC4,s2,_HLAC4_s2_2
22,-63.01109827,1,3,_HLAC4,s2,_HLAC4_s2_2
23,-49.37995706,1,3,_HLAC4,s2,_HLAC4_s2_2
24,-40.27235163,1,3,_HLAC4,s2,_HLAC4_s2_2
25,-32.11139916,1,3,_HLAC4,s2,_HLAC4_s2_2
26,-24.0243893,1,3,_HLAC4,s2,_HLAC4_s2_2
27,-12.2616041,1,3,_HLAC4,s2,_HLAC4_s2_2
28,-1.416965202,1,3,_HLAC4,s2,_HLAC4_s2_2
29,-1.416965202,1,3,_HLAC4,s2,_HLAC4_s2_2
30,-1.416965202,1,3,_HLAC4,s2,_HLAC4_s2_2
1,-147.3733797,3,4,_HLCD5,s1,_HLCD5_s1_1
2,-165.2956617,3,4,_HLCD5,s1,_HLCD5_s1_1
3,-184.7842851,3,4,_HLCD5,s1,_HLCD5_s1_1
4,-207.7154824,3,4,_HLCD5,s1,_HLCD5_s1_1
5,-225.1130013,3,4,_HLCD5,s1,_HLCD5_s1_1
6,-239.1962793,3,4,_HLCD5,s1,_HLCD5_s1_1
7,-263.7474882,3,4,_HLCD5,s1,_HLCD5_s1_1
8,-287.3685381,3,4,_HLCD5,s1,_HLCD5_s1_1
9,-306.1498778,3,4,_HLCD5,s1,_HLCD5_s1_1
10,-319.5955307,3,4,_HLCD5,s1,_HLCD5_s1_1
11,-328.9089391,3,4,_HLCD5,s1,_HLCD5_s1_1
12,-328.328173,3,4,_HLCD5,s1,_HLCD5_s1_1
13,-324.4416982,3,4,_HLCD5,s1,_HLCD5_s1_1
14,-312.3642039,3,4,_HLCD5,s1,_HLCD5_s1_1
15,-295.1456237,3,4,_HLCD5,s1,_HLCD5_s1_1
16,-272.820508,3,4,_HLCD5,s1,_HLCD5_s1_1
17,-242.9200649,3,4,_HLCD5,s1,_HLCD5_s1_1
18,-210.7478581,3,4,_HLCD5,s1,_HLCD5_s1_1
19,-174.8307145,3,4,_HLCD5,s1,_HLCD5_s1_1
20,-139.2831189,3,4,_HLCD5,s1,_HLCD5_s1_1
21,-104.2062047,3,4,_HLCD5,s1,_HLCD5_s1_1
22,-72.03849411,3,4,_HLCD5,s1,_HLCD5_s1_1
23,-41.14600795,3,4,_HLCD5,s1,_HLCD5_s1_1
24,-14.81738524,3,4,_HLCD5,s1,_HLCD5_s1_1
25,10.38677362,3,4,_HLCD5,s1,_HLCD5_s1_1
26,33.74023148,3,4,_HLCD5,s1,_HLCD5_s1_1
27,58.22396257,3,4,_HLCD5,s1,_HLCD5_s1_1
28,83.22056497,3,4,_HLCD5,s1,_HLCD5_s1_1
29,110.1783869,3,4,_HLCD5,s1,_HLCD5_s1_1
30,139.9085297,3,4,_HLCD5,s1,_HLCD5_s1_1
1,175.6372356,3,4,_HLCD5,s1,_HLCD5_s1_2
2,208.5196415,3,4,_HLCD5,s1,_HLCD5_s1_2
3,237.1727829,3,4,_HLCD5,s1,_HLCD5_s1_2
4,261.3584031,3,4,_HLCD5,s1,_HLCD5_s1_2
5,278.3487327,3,4,_HLCD5,s1,_HLCD5_s1_2
6,288.5688039,3,4,_HLCD5,s1,_HLCD5_s1_2
7,292.7844237,3,4,_HLCD5,s1,_HLCD5_s1_2
8,289.5613338,3,4,_HLCD5,s1,_HLCD5_s1_2
9,276.9127053,3,4,_HLCD5,s1,_HLCD5_s1_2
10,258.0012216,3,4,_HLCD5,s1,_HLCD5_s1_2
11,232.8418076,3,4,_HLCD5,s1,_HLCD5_s1_2
12,198.4573062,3,4,_HLCD5,s1,_HLCD5_s1_2
13,160.7669777,3,4,_HLCD5,s1,_HLCD5_s1_2
