1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration,tone,pitch_con,numPoints,previous_tone,this_tone,tone,sort
17.50223644,-11.57339802,0.595321627,222.5593994,meng_2_83,2,83,136.363637,44.38020197,-21.52078164,0.811802223,222.5593994,meng_2_83,45,-0.544415096,46,145.5079101,2,meng_2_83,11,empty,2,2,83
-32.20723205,28.63570365,16.45315482,238.4198708,meng_2_85,2,85,122.727273,-59.53558909,43.1310497,20.19250823,238.4198708,meng_2_85,0,-1.439874051,35,127.6178554,2,meng_2_85,10,empty,2,2,85
96.16043777,-49.6610029,-28.57468671,241.7525846,meng_3_87,3,87,68.181818,30.4791017,-23.0862099,-19.48274089,241.7525846,meng_3_87,-1,-2.390506728,79,108.9506773,3,meng_3_87,6,2,3,3,87
6.921087992,-14.47012854,-16.26582447,254.9982939,meng_3_89,3,89,163.63637,30.32591276,-38.74646291,-26.61680471,254.9982939,meng_3_89,-7,-3.055033212,40,168.6893087,3,meng_3_89,13,5,3,3,89
-5.1728887,14.87216454,7.943130943,219.9348004,meng_1_90,1,90,259.09091,-89.96833086,99.83401434,20.57993024,219.9348004,meng_1_90,-100,5.511884661,13,266.9624429,1,meng_1_90,20,3,1,1,90
453.6223018,15.16934854,-44.278756,114.7744854,meng_3_92,3,92,27.27273,9.201957793,1.128298877,-12.07602557,114.7744854,meng_3_92,99,-11.67975296,80,35.31435444,3,meng_3_92,3,empty,3,3,92
-0.357022989,49.3282106,-51.58944705,247.7048918,meng_2_94,2,94,81.81818,-0.195544509,33.02136265,-42.20954665,247.7048918,meng_2_94,-100,-2.906234282,80,81.92930231,2,meng_2_94,7,empty,2,2,94
59.33384599,-98.09822753,17.79199734,250.139481,meng_3_96,3,96,81.81818,32.49764902,-65.66905849,14.55708841,250.139481,meng_3_96,-100,-2.741222806,80,85.54888755,3,meng_3_96,7,2,3,3,96
38.42645768,-71.68946883,32.80954413,233.5770428,meng_2_99,2,99,109.09091,49.88799439,-85.31639408,35.79223026,233.5770428,meng_2_99,-16,-2.102704222,80,122.8635107,2,meng_2_99,9,5,2,2,99
-20.77626049,33.52923263,-1.016485607,234.1097447,meng_1_100,1,100,122.72728,-38.40525996,50.50168076,-1.247505137,234.1097447,meng_1_100,-10,-1.575105486,60,130.8495435,1,meng_1_100,10,2,1,1,100
-39.01344286,95.99504158,-81.15976005,274.5330552,meng_1_102,1,102,109.09091,-50.65006081,114.2420349,-88.5379208,274.5330552,meng_1_102,-12,-0.8980534,70,139.3213624,1,meng_1_102,9,1,1,1,102
-54.76031906,80.19538047,-31.66763155,249.2188391,meng_2_104,2,104,109.09091,-71.09378941,95.43913207,-34.54650743,249.2188391,meng_2_104,-26,-3.350633112,21,111.030887,2,meng_2_104,9,empty,2,2,104
-97.00457689,181.9657433,-132.6356579,274.6841582,meng_3_106,3,106,95.45454,-84.3688235,165.7993463,-126.6067571,274.6841582,meng_3_106,-56,-2.509095354,80,104.319434,3,meng_3_106,8,2,3,3,106
