1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,duration,artist,role_type,shengqiang,tone,word,pitch_con
3778.117298361125,3778.117298361125,3794.1177414918952,3730.1158542452463,3618.112279534821,3555.110362783575,3525.1094013851953,3491.108355512992,3492.1083956700063,3281.1017585383015,3784.1175608331387,3762.1166338975904,3794.1177414918952,3766.116858463461,3764.1167547959794,3769.1170440226315,3730.1158542452463,3635.112903285523,3573.110959499751,3535.109756712989,3508.1088443538556,3495.108499323819,3462.107501293041,3455.1072280991607,3492.1083956700063,3768.1170512578183,3763.1167099972477,3804.118012777456,3735.115998519896,3809.1183310502224,2.9967537252047123,Liu Guijuan,D,X,2,de2,2_2_202
4514.140092858172,4514.140092858172,4493.139405938722,4476.139009887047,4475.13889840873,4479.1390620379825,4484.139057582879,4493.139405938722,4484.139057582879,4424.137388538884,4327.134241113184,4284.132962822166,4316.133851016441,4381.136009233539,4367.135614278464,4304.133554067007,4305.133592525461,4342.1347171883335,4363.135303959301,4347.134883128164,4322.134124319614,4343.1347807400425,4416.13693585338,4452.138222514505,4425.137422579009,4381.136009233539,4336.134574510807,4317.133966445408,4301.133491890549,4287.13305451349,1.3834693485430876,Liu Guijuan,D,X,1,sui1,1_2_249
4568.141823221272,4549.1412070118195,4509.140043691298,4485.139169683762,4485.139169683762,4488.139350987305,4498.139499369067,4503.139731953816,4511.139980551336,4514.140092858172,4512.140075843937,4508.139918836493,4498.139499369067,4493.139405938722,4499.139701850034,4506.139926198529,4517.140246508547,4532.140753868569,4539.140853844216,4532.140753868569,4516.140206985756,4490.139268001554,4507.139926913642,4508.139918836493,4514.140092858172,4515.140155664457,4521.140280363513,4522.140397189971,4523.140359287283,4518.1402739198575,0.7790588385077513,Liu Guijuan,D,X,1,bei1,1_2_198
4206.130550035997,4206.130550035997,4197.130348276046,4156.128928855872,4070.1262939176227,4081.126622558247,4203.130367459531,4241.131620841563,4215.130833361264,4162.1291289971505,4180.129635010946,4230.131404365041,4249.1319058000045,4235.1313045010875,4210.13065747198,4220.131044301952,4230.131404365041,4246.131644722753,4269.132505378277,4291.133054468482,4247.131703661695,4107.127512826502,4000.124185467525,3983.1236937356844,3984.1236953031885,3989.1238803016818,3996.123959877645,3994.1240094659647,3994.1240094659647,4003.124198780763,1.483457871658402,Liu Guijuan,D,X,2,ren2,2_2_141
4510.139875033453,4507.139926913642,4509.140043691298,4513.140018880982,4519.140288907272,4524.140448223873,4532.140753868569,4555.141444115749,4576.142009358435,4618.14334390268,4670.144844421397,4696.145757205739,4712.146246661121,4716.146401922333,4703.146055547048,4688.14549722138,4643.144161813581,4597.142677277486,4562.141643268328,4549.1412070118195,4529.14052959516,4521.140280363513,4515.140155664457,4514.140092858172,4515.140155664457,4527.140486531111,4542.140953826814,4554.141256084265,4560.141596384987,4583.142221693929,0.7470270565654609,Liu Guijuan,D,X,1,dang1,1_2_2
8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,8782.957714966124,0.28240882895903496,Liu Guijuan,D,X,4,bi4,4_2_81
4318.133980284961,4327.134241113184,4322.134124319614,4314.133951933642,4315.133951928096,4326.134204076876,4346.134943344656,4347.134883128164,4337.134657757891,4334.134559012524,4342.1347171883335,4327.134241113184,4258.1323240876845,4148.128779622196,4012.1244033956805,3894.1208960198196,3780.1173168051328,3669.1138607847906,3627.1126872887444,3557.110328341611,3582.1111955239967,3550.110266107977,3519.109198842081,3504.108836190454,3502.108664583935,3507.108884906707,3506.108854618406,3495.108499323819,3479.1079213733747,3474.107792751543,1.1497350622426836,Liu Guijuan,D,X,4,ding4,4_2_82
3780.1173168051328,3782.117405264858,3791.1175974524886,3793.1176982408015,3793.1176982408015,3792.1177217611353,3782.117405264858,3771.1171475429355,3763.1167099972477,3735.115998519896,3724.1156012300057,3748.116297518111,3777.117180808508,3792.1177217611353,3800.1179875257826,3797.117945928044,3786.117564940478,3770.117003693354,3741.1161632634794,3710.115295254397,3689.1143776758845,3685.1144491076907,3670.11399692248,3651.113212901954,3620.1123823678686,3588.1113364954003,3555.110362783575,3555.110362783575,3538.1097464781415,3508.1088443538556,0.9024098212714193,Liu Guijuan,D,X,4,shi4,4_2_83
4199.130344137449,4181.129747233695,4122.12787330022,4020.124807448644,4073.126478273388,4184.129878195718,4184.129878195718,4153.128863563261,4128.1281011515985,4208.130491439363,4243.131806657397,4229.131158611584,4192.130035553388,4195.130253035782,4204.130667308059,4248.131845866821,4282.132816535428,4327.134241113184,4257.132193736305,4103.127397560853,3989.1238803016818,3989.1238803016818,3995.123986751262,4000.124185467525,3998.1240831638142,3999.1240417487643,4004.1243167671455,4023.1249978586516,3934.1221239240585,3783.1174478359694,1.5262801675214632,Liu Guijuan,D,X,5,me5,5_2_196
4381.136009233539,4360.13522462028,4335.1345414553425,4342.1347171883335,4348.134869236353,4348.134869236353,4355.135102888619,4336.134574510807,4319.134050897018,4315.133951928096,4299.133498268862,4284.132962822166,4287.13305451349,4285.13297838918,4309.133719447016,4325.134220925122,4347.134883128164,4344.134891915924,4312.133968185805,4275.132586996397,4245.131834970692,4231.131239331235,4251.131942956952,4281.132848388153,4328.1343316073535,4335.1345414553425,4335.1345414553425,4288.1331143522675,4270.132578092788,4326.134204076876,0.9080904586355523,Liu Guijuan,D,X,1,feng1,1_2_7
3959.1230043481355,4180.129635010946,3958.122903112422,3960.1229182754714,3948.12258962186,3778.117298361125,3794.1177414918952,3781.117433575934,3747.1162291628057,3660.1134468835153,3542.1098991036115,3504.108836190454,3524.1093052003152,3488.1082228376736,3476.107797525669,3506.108854618406,3489.1083327755046,3496.108527174844,3476.107797525669,3482.1081251957075,3497.108487415999,3503.108721780674,3589.1113954842663,3764.1167547959794,3764.1167547959794,3750.1163543215534,3765.116877166717,3776.1171359282566,3768.1170512578183,3728.115737990807,2.52607234360633,Liu Guijuan,D,X,4,lou4,4_2_86
3476.107797525669,3772.1170400723063,3794.1177414918952,3782.117405264858,3765.116877166717,3771.1171475429355,3784.1175608331387,3805.1181232384033,3796.117812083113,3712.1151455108766,3560.110436224117,3502.108664583935,3475.1078903649877,3479.1079213733747,3484.1081582091274,3477.1079009556897,3465.1075607022844,3450.1069855991027,3440.1066877508,3462.107501293041,3480.1080952803204,3498.1086345395524,3485.1081429626197,3424.1062486551773,3433.1066192858298,3704.1149619415914,3833.119043703846,3823.118706331193,3780.1173168051328,3738.1160195087364,1.5159186565962557,Liu Guijuan,D,X,4,jiu4,4_2_88
