1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration_raw,tone,prev_tone,this_tone,tone,sort
8.010260298,-16.17528464,14.07902418,114.6146906,zhong_1_45,1,45,68.18182,2.53893977,-7.51950256,9.599334927,114.6146906,zhong_1_45,-16,-1.45861741,80,74.99962142,1,2,1,1,45
-1.252985777,2.739185904,-7.187819913,119.317824,zhong_4_46,4,46,177.27273,-6.980265471,8.608061754,-12.74204459,119.317824,zhong_4_46,-19,-2.925406448,29,187.0516832,4,1,4,4,46
14.08384558,-11.10265511,-5.431210072,120.4122917,zhong_4_48,4,48,95.45455,12.24929682,-10.11626316,-5.184337134,120.4122917,zhong_4_48,-13,-1.688951549,70,123.2211602,4,4,4,4,48
-15.33815762,1.132652767,7.553845965,117.2401002,zhong_2_49,2,49,81.81818,-8.400838588,0.758222066,6.180419288,117.2401002,zhong_2_49,-14,-1.611014554,80,92.1525062,2,4,2,2,49
136.7401323,-115.9788242,0.089354573,117.683216,zhong_3_51,3,51,54.54545,22.19072968,-34.50609071,0.048738854,117.683216,zhong_3_51,-35,-3.768197271,60,79.71993727,3,2,3,3,51
29.85855335,28.57247176,-37.64639,121.4912894,zhong_1_54,1,54,68.18181,9.463991481,13.28265414,-25.6679901,121.4912894,zhong_1_54,-41,-2.305825701,80,76.92268864,1,empty,1,1,54
-7.496767228,25.53743505,-19.51361887,118.8082472,zhong_1_55,1,55,95.45455,-6.520245231,23.26861556,-18.62663709,118.8082472,zhong_1_55,-1,-1.647626231,80,107.6917641,1,1,1,1,55
-1.318541479,5.153346042,-6.649763488,118.2902825,zhong_1_56,1,56,150,-4.450077491,11.59502859,-9.974645232,118.2902825,zhong_1_56,0,-1.890810467,56,163.4607134,1,1,1,1,56
-0.965131564,-3.550468592,10.98749061,114.3231235,zhong_2_57,2,57,136.36363,-2.447271654,-6.602110402,14.98294104,114.3231235,zhong_2_57,-24,-2.121409616,53,138.4608396,2,1,2,2,57
28.55111712,-15.6318972,-10.80686527,110.0722544,zhong_3_59,3,59,54.54546,4.633390794,-4.650813322,-5.894654373,110.0722544,zhong_3_59,95,-5.867847369,50,67.9515484,3,empty,3,3,59
32.06851661,-58.02808684,21.81798405,119.3813286,zhong_4_61,4,61,109.09091,41.63365746,-69.0582202,23.80143735,119.3813286,zhong_4_61,26,-0.657431074,61,117.780669,4,5,4,4,61
-71.9527682,93.26553928,-40.73911308,135.2907962,zhong_1_63,1,63,54.54546,-11.67678632,27.74843046,-22.22133663,135.2907962,zhong_1_63,-100,3.624242999,40,65.38428534,1,4,1,1,63
9.10336846,-34.36676501,21.27876291,129.7522642,zhong_1_64,1,64,109.09091,11.81864845,-40.89929127,23.2131961,129.7522642,zhong_1_64,-29,-0.647149423,70,115.384033,1,1,1,1,64
-0.594401974,1.250181432,-22.24283076,123.6901279,zhong_3_65,3,65,122.72727,-1.098761578,1.883021123,-27.29801896,123.6901279,zhong_3_65,59,-5.050848544,30,129.7614563,3,1,3,3,65
-27.86586162,41.69012094,-12.70653635,129.4446979,zhong_2_67,2,67,95.45455,-24.23608014,37.98625017,-12.1289671,129.4446979,zhong_2_67,-18,0.00771867,80,105.9027702,2,empty,2,2,67
188.736002,-1.252086524,-23.68285628,130.4058978,zhong_3_68,3,68,27.27272,3.828601035,-0.093130353,-6.458959082,130.4058978,zhong_3_68,-77,3.839184196,60,36.5382771,3,2,3,3,68
5.447310824,-15.37992549,-7.106152644,138.3134166,zhong_3_71,3,71,163.63637,23.86830987,-41.18261361,-11.62825023,138.3134166,zhong_3_71,-17,-2.59990602,41,171.3483855,3,empty,3,3,71
-6.867413481,5.151596222,20.16046299,109.9183792,zhong_2_72,2,72,163.63637,-30.09072885,13.7943579,32.98984981,109.9183792,zhong_2_72,9,0.703001321,60,171.8623098,2,3,2,2,72
