time,pitch,pitch_con,duration,artist,role_type,shengqiang,tone,word
5,374.5321044921875,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
6,354.9429016113281,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
7,342.2582702636719,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
8,333.0912780761719,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
9,329.6459045410156,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
10,328.6951599121094,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
11,330.4084167480469,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
12,335.2144775390625,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
13,345.2366943359375,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
14,351.67755126953125,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
15,357.4118347167969,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
16,364.079833984375,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
17,368.7361145019531,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
18,370.87225341796875,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
19,371.5155029296875,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
20,368.7361145019531,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
21,362.19195556640625,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
22,355.96954345703125,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
23,350.05615234375,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
24,346.6354675292969,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
25,345.4361877441406,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
26,342.06060791015625,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
27,341.6656494140625,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
28,345.0373229980469,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
29,348.4422302246094,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
30,351.67755126953125,4_6_6,0.6264931492999466,Chen Junjie,J,X,4,fu4
1,501.101318359375,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
