feature
bbb
caa
bbb
acc
cab
bca
cac
bca
abc
abc
abc
acc
cca
bac
cba
acb
cab
abc
acb
cba
acc
bac
cca
cab
aac
cab
abc
acb
abc
abc
cbb
cab
abc
bac
abc
bac
caa
abc
cba
cba
cba
abc
bbb
cba
acc
cca
acc
bac
cca
caa
caa
caa
bac
bac
abc
bac
aac
abc
cba
aac
cba
bac
cca
bca
acb
abc
bbb
cca
bba
acb
cca
bac
bac
abc
abc
cba
aac
aca
cba
bbb
aac
acb
cba
acb
aac
acc
bac
cba
aac
bca
cab
abc
abc
cab
cba
cba
cba
cca
cab
caa
bac
acb
acc
cca
bac
bac
cbb
bac
cab
acb
aca
acc
abc
cca
cba
cba
abc
cca
cca
bca
abc
acc
cba
bac
bbb
bca
cba
acc
cba
cab
bbb
abc
cab
abc
cba
acc
caa
bca
acc
bbb
acc
abc
aca
cba
bab
aac
cba
abc
cba
bbc
cca
cab
abc
acb
bbb
cca
bbb
aac
acc
cba
aac
bab
cba
aac
abc
acc
cba
abc
acb
bbb
aca
abc
cba
caa
abc
caa
aca
acb
abc
abc
bac
cca
bba
abb
cba
bca
caa
cba
abc
cba
abc
cab
bca
acb
cba
acb
cba
cca
abb
acc
caa
bca
acb
bbb
aac
bca
cba
caa
bcb
acb
cca
cba
cab
cca
cab
caa
cca
aac
abc
cca
bcb
acc
caa
abc
cba
cab
bca
aac
cba
cab
cba
bca
abc
bca
cba
bbb
cba
cab
abc
acc
acb
abc
acb
bca
abc
cba
cba
abc
abc
cba
cab
abc
cab
bac
cba
cba
cba
cba
bca
cab
cba
bbc
cab
caa
cca
acb
bca
cca
cba
bba
cca
cab
bca
aac
cca
aac
caa
caa
bbb
cba
caa
cab
cba
cab
cba
cba
cbb
cca
bbb
cca
cca
cba
bac
cba
bca
acc
abc
caa
caa
bca
acb
bac
acb
cba
cab
abc
cab
bca
cba
cab
caa
caa
acb
abc
abc
abc
abc
cca
cca
abc
cca
aca
caa
abc
bac
cba
abc
cba
cab
abc
aac
bca
cba
acc
acb
bba
bca
cba
abc
cba
abc
cab
acb
cca
bac
cba
cab
bca
caa
abc
caa
cba
bac
acc
abc
cab
acc
cba
acb
cba
acc
acc
abc
acc
aac
abc
abc
acb
caa
cba
bbc
bba
abb
abc
cba
cba
caa
cba
abc
cba
acb
cab
cab
cca
aac
abc
abc
abc
cba
acb
bbb
cca
cca
abc
cab
bac
abb
bca
bba
acc
acb
caa
cca
abc
cab
cba
bca
cba
bac
acb
cbb
cba
acb
cba
acc
cba
cba
bac
bbb
cba
aac
bbb
bca
caa
abb
aca
cba
abc
cba
cca
abc
caa
cba
caa
bca
cca
bca
bac
caa
abc
cca
abc
caa
cba
acc
bbb
cab
abc
bcb
aac
acc
acb
bbb
cac
cab
cab
bac
cca
cba
cab
cba
bbb
bac
bca
abc
cab
cca
cbb
caa
aac
abc
aac
cba
cca
abc
bca
acb
cba
acb
bbb
cac
abc
cca
acb
acb
cba
abc
cba
cca
caa
cac
cbb
acc
caa
cca
cba
caa
cca
acc
abc
abc
cba
cab
cba
abc
acb
abc
abc
cba
cab
abc
cab
cba
cba
acc
cab
bac
caa
bac
abc
abc
cab
abc
cba
abc
abc
abc
cba
bbc
cab
cab
cab
cca
acc
bca
caa
cac
abc
bac
caa
cba
abc
cba
abc
cbb
abc
abb
abc
bca
cab
bca
abc
cab
cca
abc
cca
cac
cba
cba
abc
cba
cca
caa
bbb
cba
cab
abc
bbb
cab
cab
acb
cba
cab
bca
acb
cab
acb
cba
cba
abc
abc
bba
abc
acc
cab
cca
abc
bca
cba
aac
acc
caa
cbb
acb
abc
bca
bbb
cba
cab
aca
bca
acc
abc
cab
cbb
cba
abc
cca
cba
aac
aac
acb
cbb
bba
abc
acc
abc
cab
bca
abc
aca
cca
acb
aac
aac
acc
abc
cab
abc
bca
acb
cba
bbb
abc
acb
abc
acc
caa
acb
cab
bca
cab
cba
acc
bac
caa
abc
aac
cba
bac
abc
cba
acb
bca
aca
cab
cbb
cba
bac
acb
acc
cba
bbb
cba
abc
cab
abc
aac
abc
acb
cba
cba
acc
aac
abc
abc
cba
acc
bbc
cab
aca
cba
cba
cab
cca
cca
caa
cba
cba
bac
aac
bca
aac
abc
cab
acb
caa
bac
cba
acc
acb
cba
bac
bca
abb
abc
cba
abb
abc
cab
aac
bba
cab
cab
abc
acb
cbb
cab
bbb
cca
cab
acb
bca
bca
cba
bca
cba
bca
aca
bbb
aac
bca
cba
bac
bbb
bca
caa
abc
bcb
bca
abc
cab
acb
cab
cbb
cba
cca
abc
cca
cba
cba
cba
bca
abc
bab
cab
abc
cca
cba
abc
bbb
cab
caa
bba
cbb
cba
bbc
cca
cbb
acb
cba
bcb
cca
cba
bbb
cab
bac
abc
acb
cba
cba
cba
bca
caa
bac
abc
cba
acb
abc
cab
acb
acc
abc
abc
abc
aac
bac
abc
acb
abc
acb
bca
acc
aac
abc
caa
abc
abc
acc
abc
cbb
bbb
bbb
abc
abb
bca
cca
acb
cca
cba
abc
aac
cca
cca
caa
bbb
acb
caa
acc
cba
aac
cba
bca
acc
bbb
abc
abc
bbb
bca
acb
bac
acc
abc
cba
bac
caa
cba
cca
acc
cba
bca
cba
cab
cba
caa
abc
aac
cab
caa
cca
acb
cba
cba
abc
bcb
bab
acb
abc
bac
abb
abc
aac
abc
acb
acb
abc
bac
cba
cba
cba
cba
cba
bab
cca
cab
abc
abc
cba
aac
abc
acc
abc
bba
cba
abc
abc
bca
acb
acb
cba
caa
cab
caa
acb
cab
abc
aac
cab
acb
abc
cba
aac
acb
abc
bac
caa
acc
cba
acb
cba
bca
acb
acb
cba
cab
cab
bba
cab
bca
abc
bac
cab
bcb
acb
cba
acb
cca
cba
bca
abc
abb
bbb
bac
cba
abc
bca
aac
aac
cba
caa
bbb
bca
cab
cca
abc
abc
acb
bca
cab
cca
bac
cab
cab
abc
abc
cba
aca
cba
cab
bac
acb
aac
bac
abc
acb
aac
cca
bbb
aca
bbb
cba
bac
cca
abc
acc
caa
abc
bbb
bca
bac
abc
abc
cba
cba
acb
abc
acc
bac
bca
cca
bca
bac
aca
abc
acb
cba
aac
cca
acc
bbb
bca
cab
cba
bca
bca
abc
abc
cab
abc
abc
bca
cba
acc
acb
cab
caa
cba
cba
abc
cba
cca
cba
cca
cba
bbb
cca
cca
bab
cba
bbb
acb
cca
bbb
cca
abc
bac
bac
aca
cba
bbb
aac
cba
cba
cba
caa
aac
cca
acb
abc
bca
cac
cba
bac
cbb
cba
cbb
cba
abc
cba
cca
bca
abc
abc
bba
aac
acb
cab
aca
acb
acb
cbb
acc
bca
bca
acb
cba
abb
cca
cab
cab
cba
acb
abc
aac
cbb
bca
bbb
abc
bca
abc
abc
cba
cba
bac
abc
abc
cab
aac
caa
cba
abc
bba
cba
cba
cab
aac
cab
cab
acb
aca
bac
acc
cba
abc
bca
abc
cba
cab
bac
bca
bbc
cca
cba
bac
caa
aca
acb
aac
cab
cba
cab
caa
bba
caa
bca
cba
bbb
abb
cba
caa
bbb
aac
aac
abc
acc
cba
cca
bcb
cba
cba
cba
abc
abc
bbc
acc
bca
cbb
cba
abc
bba
cba
bbb
abc
bbb
bbb
acb
aac
abc
bbc
abb
bca
cca
bbb
cba
abc
aac
bbc
abc
cbb
acb
bac
bca
cba
cba
bbb
caa
cba
abc
abc
acb
cca
bbb
cba
bcb
cab
acb
aac
bca
cba
acb
abb
cba
abc
cab
aac
cab
acb
cba
acb
cba
cba
abc
cba
bba
bbb
bca
cca
aca
caa
bac
cba
bcb
acc
cba
