1st,2nd,3rd,4th,speaker,pitch_con,syl,tone,prevsyl
0.0004802307177571993,-0.032018878282352524,0.6074890515398135,123.9609831982193,s1,_HHAA1_s1_1,1,1,none
-0.0004481934909517299,0.01111823662639077,0.07495255476201493,119.8561748904725,s1,_HHAA2_s1_1,1,1,none
-0.0003533387542774679,0.012944249456906764,-0.10147136057496589,120.37008011319838,s1,_HHAA3_s1_1,1,1,none
-5.4634965649565544e-05,-0.0031554440927271197,0.1567742350896189,117.888748377588,s1,_HHAA4_s1_1,1,1,none
-6.405730065922374e-05,0.0002506671517764127,-0.03403671955765574,122.05679976031017,s1,_HHAA5_s1_1,1,1,none
-0.0009696075462713641,0.04324217640664325,-0.38312043481574926,124.85101441523456,s1,_HHAB1_s1_1,1,1,none
-0.0008147235597618231,0.03298670336848786,-0.354713453649803,128.23221271025355,s1,_HHAB2_s1_1,1,1,none
-0.0009887629985509165,0.034222833141599455,-0.12852090683847384,124.45980009292465,s1,_HHAB3_s1_1,1,1,none
-0.0009638795777419588,0.03797261972182563,-0.31853462902996704,123.30073467087765,s1,_HHAB4_s1_1,1,1,none
-0.0012749689737646852,0.04611873526104844,-0.3021715750031594,125.26649015118414,s1,_HHAB5_s1_1,1,1,none
-0.0020450759675921556,0.08274931635307775,-0.5762193403293739,126.82579238424742,s1,_HHAC1_s1_1,1,1,none
-0.0003410709048915228,0.012889400728833827,-0.04681956389780894,130.03367270771756,s1,_HHAC2_s1_1,1,1,none
-0.0008154327614453191,0.030647631957381256,-0.27176977706130034,129.5695000373326,s1,_HHAC3_s1_1,1,1,none
-0.0008937985471839757,0.03458281511080694,-0.24493956946083217,130.1104504997154,s1,_HHAC4_s1_1,1,1,none
-0.0007885163792401471,0.026290688860850033,-0.02714024964629233,126.6689496635796,s1,_HHAC5_s1_1,1,1,none
-0.0006603183568162394,0.02542319150511213,-0.18725397699648877,128.39592572417078,s1,_HHAD1_s1_1,1,1,none
0.0001847847951458691,-0.0114444327357247,0.08855717194068673,127.65593082444808,s1,_HHAD2_s1_1,1,1,none
-0.0005418160574116773,0.028754228775256217,-0.28755334911476704,122.63110552607198,s1,_HHAD3_s1_1,1,1,none
-4.792772715414196e-05,-0.002330670751093893,0.052967291536499934,126.45344884636744,s1,_HHAD4_s1_1,1,1,none
0.00014528240452820574,-0.007444531618384446,0.061480932404338114,128.0968969754899,s1,_HHAD5_s1_1,1,1,none
0.00026875273885809106,0.004228633802322734,-0.4624318324153594,125.15943354708634,s1,_HHBA1_s1_1,1,2,none
0.000226389780966855,0.009243984833657974,-0.6065516972032549,122.34242189025727,s1,_HHBA2_s1_1,1,2,none
-9.157903253116065e-05,0.030283289912686587,-0.8639720188171928,120.83720959448638,s1,_HHBA3_s1_1,1,2,none
-7.89042926172042e-05,0.02177101421022734,-0.6714646674109601,120.00916845531839,s1,_HHBA4_s1_1,1,2,none
-0.000345458630965792,0.03365240721399498,-0.7918236933530942,120.51883252938146,s1,_HHBA5_s1_1,1,2,none
-0.0009073830465544503,0.06326562925277587,-1.0952085373784506,119.65787330124063,s1,_HHBB1_s1_1,1,2,none
9.191437735870509e-05,0.009455678444020335,-0.3501361498235633,120.60675742117864,s1,_HHBB2_s1_1,1,2,none
-0.001067683656059151,0.06796599418947281,-1.1268235124717652,121.12069896897646,s1,_HHBB3_s1_1,1,2,none
-0.00024125849477813196,0.030118947785567472,-0.7364478738404046,120.53885141188827,s1,_HHBB4_s1_1,1,2,none
-0.0004070170528358646,0.036538803030560424,-0.8493566729582493,124.2307026707024,s1,_HHBB5_s1_1,1,2,none
-0.00046001979241186447,0.060665369888308,-1.4429552063642872,127.27788752932324,s1,_HHBC1_s1_1,1,2,none
-0.0003375855207073212,0.04270556906699418,-1.0110758762967045,127.0949014888159,s1,_HHBC2_s1_1,1,2,none
-0.0005719810239492159,0.05252824182407005,-0.9447446416522332,123.65318939083751,s1,_HHBC3_s1_1,1,2,none
-0.000729482568025145,0.07195319902255598,-1.573092650776936,126.56398268414151,s1,_HHBC4_s1_1,1,2,none
-0.0009996980009666198,0.08241990649920214,-1.7006743352971438,128.42701034074076,s1,_HHBC5_s1_1,1,2,none
5.6093607960405224e-05,0.026668515203680736,-1.019026073329841,124.41026353554454,s1,_HHBD1_s1_1,1,2,none
5.473137435070948e-06,0.035454037229501384,-1.1959982212602673,122.76055772130637,s1,_HHBD2_s1_1,1,2,none
0.0002769711972961301,0.019925115974386846,-0.9787556105877904,123.4185041950046,s1,_HHBD3_s1_1,1,2,none
0.0008555099054286207,-0.0016391791061258262,-0.8348049823710303,123.13038619832153,s1,_HHBD4_s1_1,1,2,none
0.00021432312849323316,0.02280461220035841,-1.0277324349159958,123.61955418076998,s1,_HHBD5_s1_1,1,2,none
0.0010019944694394528,0.013413013966711207,-2.4456686785158808,131.56790878700286,s1,_HHCA1_s1_1,1,3,none
0.0023392349653506826,-0.06779850994713604,-1.0437204293445885,127.60964997074849,s1,_HHCA2_s1_1,1,3,none
0.001612720850515549,-0.038374623251648976,-1.2264167068500171,123.61606813889584,s1,_HHCA3_s1_1,1,3,none
0.0019841409661369136,-0.050543457955867024,-1.1996054157638238,123.16417795933152,s1,_HHCA4_s1_1,1,3,none
