1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration_raw,tone,prev_tone,this_tone,tone,sort
45.0407995,-42.0779996,3.299042759,215.5164367,wang_4_765,4,765,109.0909,-0.375037178,-3.552790325,-29.61454076,277.7352174,wang_1_822,-29,1.871999329,70,121.6752012,1,empty,1,1,822
1.063690654,18.61049561,-32.82320651,215.5400895,wang_1_1033,1,1033,109.0909,-42.62250069,93.62917548,-61.76011204,249.7968063,wang_1_850,-13,2.695764693,23,202.3054978,1,empty,1,1,850
12.2347175,-35.70959777,0.482452874,235.886564,wang_4_633,4,633,177.27273,-86.25160983,146.0382983,-98.24944579,272.9033201,wang_1_852,1,1.757797068,44,143.9139031,1,empty,1,1,852
134.4751527,-82.6478229,-23.54991356,247.6249045,wang_1_868,1,868,54.5454,94.25134426,-192.9764824,116.7753205,230.2359572,wang_1_853,-3,2.427442352,80,151.1359375,1,1,1,1,853
-48.7805448,110.1192104,-61.11719908,245.0655832,wang_1_1007,1,1007,136.3637,21.8230998,-24.58938573,-12.84539455,247.6249045,wang_1_868,-53,-0.242472192,75,67.56132748,1,empty,1,1,868
-16.48216473,29.4466462,-26.91573098,240.6356621,wang_1_649,1,649,136.36363,-13.83176209,-7.495083554,53.81134733,200.2032836,wang_1_873,-9,0.861661349,69,93.65431288,1,empty,1,1,873
-132.1405491,173.8053306,-67.24831995,230.5945027,wang_1_1011,1,1011,95.4545,1.342645027,8.37698223,-8.157241878,229.6902336,wang_1_890,-2,1.070529153,80,67.8195058,1,empty,1,1,890
27.8704142,-99.83234717,99.7420385,211.9601527,wang_1_681,1,681,136.3636,0.334452868,-5.976561991,12.41811104,233.2421116,wang_1_891,-22,0.840424912,59,127.3958751,1,1,1,1,891
-0.288874195,-2.985331257,-27.14666463,277.7352174,wang_1_822,1,822,109.0909,22.97899373,-49.96787541,31.50945935,213.4212592,wang_1_913,31,0.866008208,70,99.75274332,1,empty,1,1,913
-18.74830637,53.91660286,-50.23121426,235.7378202,wang_1_1014,1,1014,150,-40.47482289,63.57389056,-39.55590768,239.1235244,wang_1_937,-34,-0.201149753,70,96.02220347,1,empty,1,1,937
-28.34592357,25.66144768,4.816985902,224.9150264,wang_1_143,1,143,81.81818,-66.93570263,61.51778024,1.477191494,219.1297408,wang_1_972,-13,-0.147831711,58,189.8753751,1,empty,1,1,972
63.85533581,-149.6603992,93.00443216,167.9046927,wang_1_809,1,809,122.7273,-123.6923886,204.7673179,-83.341674,245.0655832,wang_1_1007,-28,1.479710006,47,143.8018985,1,empty,1,1,1007
-2.944207604,-15.49561424,19.16661768,234.9405487,wang_1_762,1,762,109.0909,-114.9278622,158.3637971,-64.19154757,230.5945027,wang_1_1011,7,0.216268246,70,104.6370117,1,empty,1,1,1011
-62.09513493,63.63798015,7.499578058,216.387383,wang_1_664,1,664,81.81818,-63.275534,121.3123564,-75.34682139,235.7378202,wang_1_1014,96,-9.886182499,14,161.8557327,1,empty,1,1,1014
-44.71115198,121.6251698,-90.5345662,271.6103207,wang_1_701,1,701,122.7273,40.74661784,-20.50701808,-36.15348709,254.3653213,wang_1_1026,-7,0.84173231,31,115.1866935,1,empty,1,1,1026
-40.39985326,66.6412989,-12.34788827,229.0794995,wang_1_700,1,700,122.7272,1.380959422,22.14802414,-35.80713139,215.5400895,wang_1_1033,10,-1.218669931,70,111.2820904,1,empty,1,1,1033
40.42045756,-96.26796711,43.95858391,214.84693,wang_4_687,4,687,109.0909,288.1823057,-379.3909665,127.7631907,202.03488,wang_1_1034,37,-5.146563182,13,184.7179096,1,1,1,1,1034
