1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,duration,mean_f0,tone,pitch_con
1.296769603,1.262388697,1.130382408,1.030765931,0.912725943,0.821268021,0.775206638,0.744811606,0.706191981,0.647469432,0.53800374,0.5222114,0.510086022,0.483412805,0.434936256,0.370767694,0.297949632,0.06786224,-0.070764579,-0.231694305,-0.408623242,-0.551831305,-0.695906521,-0.828357115,-1.153345693,-1.333777407,-1.472165144,-1.702428942,-1.931198571,-2.173117224,0.176118458,1.163026135,4,zhong_4_75
2.011954782,1.501132595,1.501132595,1.501132595,1.210188695,1.210188695,0.961326093,0.961326093,0.677897327,0.677897327,0.319586351,0.319586351,0.319586351,-0.102067722,-0.102067722,-0.482242125,-0.482242125,-0.765020879,-0.765020879,-0.765020879,-0.974297943,-0.974297943,-1.118829133,-1.118829133,-1.130070766,-1.130070766,-1.130070766,-0.892452272,-0.892452272,-0.347882522,0.067561327,1.039946029,1,wang_1_395
1.997650142,1.904154519,1.857551477,1.832810601,0.91298565,1.006201897,1.080423462,0.205442515,0.116817618,0.150065231,0.18302984,0.166522375,0.058812738,-0.097448856,-0.663942241,-0.801748954,-0.87450858,-0.932102456,-0.98370911,-1.026556419,-1.05034644,-1.063518128,-1.086622163,-1.108303703,-1.045483895,-0.753638235,-0.476982759,-0.025238239,0.221424447,0.296257669,0.170368172,0.909629885,2,zhong_2_8
0.94629196,-0.251758729,-1.195942851,-1.645797911,-1.7338749,-1.7338749,-1.605430948,-1.358346987,-1.030301512,-0.649070702,-0.29540999,0.014377137,0.277203715,0.522777314,0.676928855,0.752883255,0.785219967,0.785219967,0.811191357,0.844990485,0.876249671,0.893194164,0.897301496,0.896609962,0.900486386,0.897315795,0.853989062,0.768216843,-0.950318981,-0.950318981,0.141975306,1.035266455,2,zhong_2_2
-1.65749358,-1.315565612,-1.135064565,-1.149931766,-1.263892851,-1.384668947,-1.41351271,-1.164321807,-0.99214404,-0.809167978,-0.657136464,-0.534629091,-0.334154163,0.029219418,0.368621639,0.77320213,0.980196512,1.070026446,1.093485653,1.063886837,0.996182824,0.913743392,0.860824156,0.854189439,0.859989755,0.871535981,0.918086854,0.972734801,0.835116334,0.350641402,0.159196675,0.94290275,2,zhong_2_7
-1.768965364,-1.071610722,-0.668541654,-0.615073054,-0.615073054,-0.668934671,-0.708254064,-0.702197715,-0.646248738,-0.548088074,-0.439414753,-0.361401666,-0.327727441,-0.329963988,-0.363543739,-0.407910947,-0.414409777,-0.356325592,-0.232783525,-0.088316593,0.008306404,0.079199802,0.211968425,0.534090717,0.990964834,1.354757375,1.751658457,1.751658457,2.172010069,2.480170589,0.14839417,0.881627496,2,zhong_2_6
-0.022991171,0.245618324,0.339959674,0.40854407,0.40854407,0.504923829,0.688728343,0.800246303,0.821908202,0.818262618,0.818262618,0.80208926,0.769957238,0.731154715,0.689399463,0.689399463,0.604741287,0.441043245,0.302910764,0.191603694,0.191603694,0.04289187,-0.169160589,-0.577699863,-0.914310923,-0.914310923,-1.541771731,-2.139889476,-2.454172412,-2.577485655,0.125594225,0.917521742,4,zhong_4_9
-0.288247127,-0.606064084,-0.84423364,-1.033143315,-1.159513742,-1.225148246,-1.236352925,-1.194337542,-1.106000655,-0.994763014,-0.883594203,-0.77336142,-0.649458384,-0.51184835,-0.366216795,-0.209869768,-0.038666048,0.136300357,0.310770938,0.486878553,0.673520837,0.871196604,1.086363258,1.324963363,1.549105871,1.676881191,1.690687443,1.538413938,0.887868453,0.887868453,0.154163347,1.020871339,2,meng_2_61
1.068470122,1.570103426,1.671257407,1.671257407,1.705806662,1.535516938,0.693954167,0.693954167,-0.10669782,-0.545033368,-0.810982177,-0.810982177,-0.978480169,-1.097119568,-1.097119568,-1.167936337,-1.168503578,-1.085793164,-1.085793164,-0.92868694,-0.729608908,-0.514316872,-0.514316872,-0.271294888,-0.002195862,-0.002195862,0.258936492,0.523592291,0.762104107,0.762104107,0.112718648,1.020934702,2,meng_2_63
-0.1389382,-0.1389382,-0.1389382,1.017785246,1.02261737,1.02261737,1.003975874,0.982380908,0.982380908,0.958992383,0.947309515,0.947309515,0.921698468,0.826366956,0.68779848,0.68779848,0.463683328,0.116987464,0.116987464,-0.125383615,-0.439413347,-0.439413347,-0.722661658,-1.05887843,-1.05887843,-1.644419347,-1.776293078,-1.674844625,-1.674844625,-1.674844625,0.108220798,0.89853113,3,zhong_3_295
