1st,2nd,3rd,4th,speaker,syl,tone,prev,pitch_con
-0.043900068076977446,0.5157844697906782,36.6570683008074,-414.3328900600622,s3,2,4,3,_HHCD5_s3_2
0.06702851183625626,-2.586290363291257,-0.7425093148913421,343.5134081516271,s3,1,3,none,_HHCD5_s3_1
-0.0009470737544314418,0.30554285899856304,-12.533584903599285,104.79967569647302,s1,2,2,1,_LHAB4_s1_2
-0.008891582025280263,0.15426091745848908,7.682614523104011,-103.61234681323852,s1,1,1,none,_LHAB4_s1_1
-0.02837001491005558,0.886720686677154,4.259892069397672,-141.01624769585504,s3,1,1,none,_LHAB4_s3_1
0.03507682194931035,-0.6223776701745436,-21.578584204486155,277.80455668655856,s3,2,2,1,_LHAB4_s3_2
0.03342011428727467,-0.5816549951819421,-18.346224323758314,226.80926927423062,s3,2,2,2,_LHBB5_s3_2
0.011024006697109312,0.2711015311780493,-5.6752929001203976,-76.93065422716441,s2,1,2,none,_LHBA1_s2_1
0.0344269114116949,-0.9655106726617119,-16.19255098885958,307.1493566614156,s1,1,3,none,_HHCD5_s1_1
-0.01272717011353854,-0.4618680602424786,37.09937099722573,-337.7437548772486,s1,2,4,3,_HHCD5_s1_2
0.009641438121661999,-0.6765246610691644,15.98476121661859,-104.0364417725019,s2,2,1,2,_LHBA1_s2_2
0.06964309366842289,-3.0384563317619775,10.797216077465572,288.31070707777656,s3,1,3,none,_HHCD3_s3_1
-0.026578659346140718,0.1516864671288087,31.493703140145694,-344.39322965837874,s3,2,4,3,_HHCD3_s3_2
-0.023261104716359334,-0.021861872722296213,36.555109775274246,-392.0596557206141,s3,2,4,3,_LLCD1_s3_2
0.042110242214871516,-1.9683295950605049,8.348793072504227,187.43601398906762,s3,1,3,none,_LLCD1_s3_1
0.015300999987860404,-1.326141530731138,14.632289868641754,80.87315539231305,s1,1,4,none,_HLDB3_s1_1
-0.010549534544566315,1.1780301748942723,-23.033793658681542,61.78372848534734,s1,2,2,4,_HLDB3_s1_2
-0.028241588786744397,0.3537321953788729,8.057422414259268,-32.82339315080002,s2,1,4,none,_LLDC5_s2_1
0.012672901141818004,-0.4025761047069691,-4.537039833402478,105.86275143823174,s1,1,3,none,_LLCD1_s1_1
-0.029686289318249577,-1.0532038731063527,65.48927937084305,-469.18514597943135,s1,2,4,3,_LLCD1_s1_2
-0.014139179185731515,1.4465996409808082,-45.298167379835064,348.1097415194852,s2,2,3,4,_LLDC5_s2_2
-0.013740105887340018,0.13837819805014245,14.597724210028922,-170.8451074912484,s2,2,1,2,_HLBA4_s2_2
0.019890695968363584,0.2551870203147269,-37.2818154244109,354.0795053171971,s3,2,2,1,_HHAB1_s3_2
0.012648138872547371,0.17167318275070534,-17.40920981262265,124.57562640816863,s2,1,2,none,_HLBA4_s2_1
-0.025038137837183044,1.1580331541999906,8.391058163044235,-314.5724721643862,s2,1,1,none,_LLAB3_s2_1
0.10379475456402174,-4.417734935576933,28.692230166031184,199.49253276899466,s2,2,2,1,_LLAB3_s2_2
0.0516646104752487,-1.7871637964109575,-1.1870389531713152,209.28088027598787,s3,2,2,1,_LLAB4_s3_2
-0.02375324639606641,0.8909719997799814,3.331209944370986,-161.23690600209275,s1,2,1,4,_LLDA2_s1_2
0.002205720375986715,0.5922609904238698,-10.535753113865391,-39.25447849360042,s2,1,2,none,_LLBB3_s2_1
-0.0030300114541731344,0.02753546602956968,4.260969740441114,-52.88448446453712,s2,2,2,2,_LLBB3_s2_2
