feature
babbb
cbaaa
bbbca
abccc
cbabb
accba
cbacb
bccba
aabbc
aabcc
aabcc
abccc
cccaa
caabc
ccbaa
aacbb
cbaca
aabcc
abcbc
ccbaa
aaccc
baabc
cccaa
cbaab
aaabc
cbaab
aabcc
abcab
abcbc
aabcc
cabca
cbaac
abbbc
baacc
aabcc
baabc
ccaaa
aabcc
ccbaa
ccaaa
ccbba
aabcc
bbbca
ccbaa
abccc
cccba
aaccc
bbabc
cccba
ccaaa
ccaab
ccaaa
baacc
acabc
abbcc
baabc
aaabc
aabcc
ccaaa
aaacc
ccbaa
caabc
cccaa
bbcba
accbc
aabcc
cbcab
bccaa
bbbba
abcbb
cccaa
acaac
baabc
babcc
aabcc
ccbaa
baabc
abcba
ccbaa
bbbac
aaacc
aacac
ccbaa
accbc
aaabc
abccc
baacc
ccbaa
aaabc
bbcab
cbacb
aabcc
abbcc
cbaac
ccbaa
ccbaa
cbbba
cbcba
cbaab
ccaaa
bbacc
abcbb
abccc
bccaa
baabc
ababc
ccaca
baabc
cbaac
abcbb
abcca
abccc
abbbc
cbcba
ccbaa
ccbaa
aabcc
cccba
cccba
accab
babcc
abccc
bcbaa
bbabc
bbbac
bcbba
cbbaa
aaccc
ccbaa
cbabb
bbacb
aabcc
bcaab
abbcc
cbbba
aaccc
ccaaa
bbcaa
abccc
acbab
abccc
aabbc
abcab
ccbaa
caacb
aaabc
ccbaa
aabcc
ccbaa
abbbc
cccaa
caabc
abbbc
abcca
cabcb
bccaa
cabbb
aaacc
abccc
cbbba
aaabc
caabc
cabba
aaacc
aabcc
aaccc
cabba
aabcc
abccb
abbbb
abcca
abbbc
ccbaa
ccaab
aabcb
cbaab
bacba
abcca
aaccb
aaccc
bbabc
cccaa
acbab
accac
ccbaa
bbcba
cbaaa
cbbba
aabcc
ccbaa
abacc
ccaab
bccba
abcbc
ccbaa
baccb
cbbba
cccaa
abbbb
abccc
cbaaa
bcbba
bacbb
acbac
aaabc
abcaa
ccbaa
ccaaa
bacbb
abcca
cccaa
ccbaa
caabb
cccba
cbaab
ccaaa
bccaa
ababc
aaacc
cccba
accab
abccc
ccaaa
aabcc
cccaa
ccaba
bbcca
aaacc
ccaaa
cbabb
ccaaa
bbcca
aabcc
bccba
ccbaa
bcbca
cccaa
caaca
abbcc
aaccc
abcca
aaccc
accbb
bbcaa
aabcc
ccbaa
ccbaa
aabcc
aabcc
ccbaa
ccabb
abbbc
cbaab
caacc
ccaaa
ccbaa
bccaa
bcbaa
bbcba
cbaab
ccbaa
abacb
cbaac
ccaaa
cccba
abcca
bbcba
cccba
ccbaa
bbbca
bccaa
ccaac
bbcba
aaacc
cccaa
baabc
ccbaa
cbaab
acbbc
cbbaa
ccaab
cabab
ccbaa
caabb
ccbaa
ccbaa
cabbb
cccaa
babcb
cccaa
cccaa
bcbaa
caabc
cabca
accaa
aaccc
aabcc
cbaaa
ccaaa
bccaa
abcca
baacc
bacca
ccbaa
cbaab
babcc
caabb
abcca
ccbaa
cbaca
ccaaa
cbaaa
aaccb
aabcc
abbbc
aacbc
aaccc
cbcaa
cccaa
babbc
bccaa
accaa
cbaaa
abbac
baacc
ccbaa
aabcc
ccbaa
caacb
aabcc
aaacc
bbcca
ccbba
abbcb
abccb
bccab
bbcca
cbbaa
aabcc
cbbba
aabcc
cbaab
bacbc
bcbba
bbbac
