"","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"1",124.1802036,124.2770661,124.385763,124.5395528,124.7030595,124.8802203,125.0536808,125.2249083,125.3689799,125.5056206,125.5952552,125.674509,125.7221697,125.7569169,125.7762087,125.7852982,125.7892038,125.7806234,125.7688148,125.7409036,125.7064181,125.6555791,125.5926289,125.5173043,125.4992225,125.5053808,125.4595639,125.4046046,125.3196289,125.2623696
"2",124.7498547,124.9473353,125.1398167,125.3139676,125.4683212,125.5962784,125.690617,125.7662785,125.7960355,125.8168276,125.8205338,125.81706,125.7956357,125.7586308,125.7060453,125.6110433,125.4990746,125.3294457,125.1490914,124.9309972,124.7034487,124.4588823,124.2324485,124.0196144,123.9491786,123.9175796,123.8259764,123.7254555,123.5922366,123.5161109
"3",125.3456767,125.2724857,125.2017427,125.1487036,125.1011966,125.0709276,125.0459139,125.0300656,125.0182636,125.0107426,125.0064112,125.0041417,125.0171861,125.0359271,125.0868422,125.1434197,125.2463469,125.3551464,125.5079527,125.6650016,125.837562,126.0086075,126.1766626,126.275361,126.2918931,126.337507,126.4042487,126.4962164,126.59896,126.6172316
"4",124.0114739,124.1996403,124.3964885,124.6078691,124.8143053,125.0171934,125.2065307,125.3740437,125.5193744,125.5828432,125.6093078,125.5590065,125.4516821,125.3090934,125.0920041,124.8826926,124.6879211,124.5432606,124.4239138,124.3644568,124.3361097,124.3404282,124.3523009,124.3617663,124.3595013,124.3658512,124.3777146,124.3641133,124.3470819,124.3246474
"5",124.7737729,124.6768027,124.5914263,124.5251681,124.4726672,124.4232948,124.3651774,124.3142523,124.2702372,124.2536332,124.2502544,124.2739193,124.3207978,124.3810337,124.4628869,124.5408497,124.6129159,124.661112,124.6960263,124.6956424,124.6723969,124.628879,124.5618621,124.4917335,124.419807,124.3892765,124.3788321,124.3443753,124.3020467,124.2487361
"6",125.2693283,124.4804913,123.4190957,122.0710751,120.3229796,118.1517775,115.8330339,113.4354055,110.9896308,108.6417145,106.4413809,104.5084899,102.8797158,101.5391955,100.5011563,99.86582166,99.45370739,99.20530568,99.10923888,99.16236895,99.34731442,99.67464522,100.2303816,101.0279836,101.9839628,103.078125,103.0849519,103.418034,104.1013426,105.1380497
"7",125.3027887,124.8624855,124.2823671,123.5520779,122.5370626,121.3439915,119.9948985,118.424048,116.5995095,114.6698958,112.6601589,110.6035626,108.6379538,106.7952917,105.3508733,104.2347371,103.3937192,102.9114773,102.6924298,102.6123798,102.655108,102.8376707,103.1343019,103.5518875,104.2136976,104.389572,104.3446408,104.7815509,105.4295885,105.9377493
"8",124.4619001,124.0813265,123.5484932,122.8313682,121.8154209,120.6358146,119.218296,117.5015658,115.6802377,113.7624605,111.7700441,109.7569633,107.7896345,105.9656871,104.2555409,102.8775707,101.7346492,100.8051468,100.279296,99.90629039,99.72385563,99.71074132,99.77129956,99.93341826,100.195116,100.4012065,100.3433967,100.4526592,100.658299,100.9933443
"9",125.0227974,124.4954579,123.8029066,122.942154,121.83385,120.5032955,119.0023738,117.3121523,115.4823262,113.5608188,111.5620788,109.5516668,107.6077088,105.7511631,104.0454505,102.713752,101.6449653,100.8404862,100.438294,100.2230879,100.1528765,100.2009018,100.35908,100.6227051,101.0117209,101.6124208,101.8230678,101.7872199,102.2220729,102.8912672
"10",122.5008068,121.4718386,120.2412989,118.7644068,116.9842966,115.1027253,113.0952985,110.9275229,108.7265543,106.5462223,104.4416732,102.3792806,100.3717598,98.59773957,97.00332324,95.8638633,94.94993576,94.26142485,94.00710759,93.88910901,93.94130262,94.16996896,94.50779907,95.02761874,95.72919936,96.31820482,96.21569834,96.48875651,97.00036923,97.83983208
