Syllable1,Syllable2,Normtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,1,_HHAA1,192.9650103,206.4435802,219.7850166,232.781136,241.5719716,247.170771,253.9082193,259.8601584,259.6239158,256.6643614,249.9628027,241.1314297,231.410838,224.9730198,219.4574273,216.2955206,213.8934989,212.0929209,209.6794154,206.2318945,196.4463267,182.2146855,161.6094418,134.7785968,105.2178253,69.78271003,34.7534691,1.202623803,-27.3736576,-51.84517092,-82.61505807,-91.99081992,-99.48612833,-104.9618744,-110.0419925,-114.4708437,-118.1104875,-117.8077966,-114.8224675,-108.42425,-97.18933758,-83.95247045,-68.3465811,-53.40264707,-39.91907918,-29.06245706,-21.92303859,-16.87825247,-14.78433162,-14.40766435,-14.75012482,-15.77910543,-17.10984489,-18.15633078,-17.93288074,-18.56224066,-19.70238341,-21.53736927,-22.12643504,-22.12643504
1,1,_HHAA2,113.8595987,119.6545404,125.1659733,129.7560022,132.9811867,134.6709213,136.5878095,138.599345,137.3673155,135.2994793,130.2772513,124.2212581,116.6884577,108.4542276,99.83739952,90.61716135,81.32809715,72.12624782,63.35864401,55.38715699,48.38541702,42.06249997,37.86410573,34.29975655,33.59605037,33.67633887,35.63821462,38.61907326,42.50569448,47.16947487,52.07238117,56.69575158,59.87614022,61.54890224,59.22830167,54.50750785,47.15084528,36.24303485,24.70504915,12.58461275,1.902095717,-7.02979148,-13.7146254,-16.41140266,-17.40272426,-16.42207273,-13.86207135,-11.05932447,-8.177356862,-5.880231679,-4.111657456,-3.133600924,-3.056202172,-2.980200667,-2.584092741,-3.00512732,-3.768780897,-4.901950102,-5.12538945,-5.12538945
1,1,_HHAA3,88.16349584,94.94130997,101.6777168,108.2191736,113.4712438,116.3327188,120.0000671,124.3948809,126.7301038,128.1858235,127.2523872,125.9197056,123.4572138,121.0549877,118.8587762,116.8476964,115.1125693,113.0995316,110.8825093,107.5157679,103.7696453,98.31570392,92.52949805,85.00579917,77.35481302,69.37235561,61.94183221,55.17871552,49.10608119,43.44274102,34.24654709,29.9880169,25.73033649,21.47393046,17.40447591,13.40622053,9.505837143,5.769812624,2.143412169,-0.924959551,-3.668154987,-5.924235808,-7.530460668,-8.85024998,-9.673961027,-10.28241591,-10.74759232,-11.09821604,-11.36841819,-11.5182824,-11.5820269,-11.60671056,-11.56123065,-11.52897834,-11.50556393,-11.54075065,-11.5886577,-11.65557756,-11.66890085,-11.66890085
1,1,_HHAA4,144.8148182,151.4054105,157.8632631,163.9319988,168.3516106,171.1786393,175.6764484,180.6491044,183.149194,184.9337132,184.8011128,184.0286395,182.6799262,180.3810528,177.7529885,173.4092103,168.1693277,160.7274538,151.4386998,140.5993528,128.1848904,115.3891609,102.911003,91.43847926,82.23936462,75.23757275,69.95493575,67.1316136,64.97329638,64.25844423,60.69970914,55.98349659,49.7684596,41.50557216,30.51644111,18.82439628,6.575691964,-4.436905911,-14.45983822,-21.06544588,-25.60061113,-28.34056372,-28.7220683,-28.62102034,-27.90261256,-27.38155133,-27.00268782,-26.94542921,-27.12407302,-27.45273296,-28.07109714,-28.93887373,-30.06232722,-31.59233978,-32.56066106,-32.36143957,-33.10648746,-34.31994808,-36.29886081,-37.07697303
1,1,_HHAA5,183.2083546,190.0601042,195.7179194,199.0827017,200.1421283,200.0937798,198.3766081,195.0240833,188.8822127,181.0195493,172.5389487,165.4165512,159.2383705,154.4955885,151.1791146,148.3680145,145.5809362,141.3552998,135.1753253,125.0972741,113.3411553,97.5720446,80.63907491,62.29042419,45.56741235,30.0288649,19.32948544,11.71045655,7.450126302,7.565845123,14.89786078,19.31775697,22.85995893,25.35926571,25.66156634,24.88849585,22.64262079,19.08821388,15.165471,11.00069716,7.105630338,3.360568329,-0.158194774,-3.855163226,-7.699537917,-11.96754662,-16.42960832,-21.03220007,-25.42118693,-29.79220209,-34.14405008,-39.03369901,-44.29568294,-50.06998538,-50.3264627,-51.14296039,-55.26177425,-61.54128145,-66.90534589,-66.90534589
1,2,_HHAB1,226.0275489,227.8846378,228.4047424,223.1655304,218.5612123,215.0069111,207.9884015,198.3051162,186.1901722,173.2802629,161.2918432,149.8181469,141.3978923,134.1158191,129.2653153,125.7645391,123.5749269,121.3806052,119.1842231,113.5528045,107.0104138,94.5739355,80.29670624,60.804016,38.70956081,13.42584533,-15.74299755,-47.11929917,-84.40117571,-123.6839216,-214.4828145,-286.2305354,-360.0469379,-437.6850579,-511.4221995,-582.2144163,-630.1872171,-662.625909,-672.2222183,-653.4065237,-621.8436344,-560.489601,-489.5918354,-407.4167027,-324.7116338,-243.7422365,-172.4846585,-110.9344185,-58.63816124,-23.59510131,6.288708075,27.28838014,44.88847643,59.87695779,61.56417964,63.667612,70.20912404,79.8403331,91.37224953,91.71448156
1,2,_HHAB2,228.1653036,231.6619107,234.7734047,236.7779599,236.4633037,233.9751734,228.663594,222.393566,212.0795227,200.8729844,187.4871822,175.4180342,164.432003,154.7500148,145.2858494,134.4593994,122.0828655,106.4572059,85.65184299,61.11252012,30.06990587,-2.535768795,-38.08204483,-72.99830773,-106.7720267,-136.6337123,-164.0312214,-185.2573046,-205.3044028,-223.5392538,-274.3447206,-306.9321691,-341.946865,-381.7080874,-421.156696,-460.2709886,-487.2807381,-506.7870684,-512.5647632,-501.8171701,-483.0171497,-442.0281692,-395.0628186,-337.8535769,-277.7893428,-216.7696088,-160.5889829,-108.9387606,-64.57140231,-30.47310687,-0.866857549,20.38597124,39.4517952,55.21724356,59.74846679,60.74779371,67.63452227,76.71333862,88.90005913,91.92294797
1,2,_HHAB3,189.7786335,199.7744387,209.8150206,219.9728879,227.0462886,231.6222758,236.9009578,241.507416,239.1600782,233.654188,223.0267701,208.1938892,191.1728269,173.230551,155.8169889,140.6324851,127.2336792,115.7186552,106.3344804,97.5721891,87.82375673,76.20492461,60.52838035,41.08104744,19.03284374,-6.842236188,-34.04878222,-65.69953737,-98.58074745,-133.1563885,-215.3040535,-274.9987059,-336.9638642,-401.6922897,-465.8640011,-525.5396068,-577.0910153,-606.0879854,-622.2934249,-617.1996677,-591.0534176,-551.8918146,-489.9101519,-418.5504454,-340.8150379,-257.6984081,-177.3344051,-99.60932282,-35.21308592,22.47607711,71.376411,111.215377,147.6476858,179.7765343,187.486916,191.2327871,207.6263435,231.329395,255.413928,255.413928
1,2,_HHAB4,146.9162143,156.8737551,166.7637935,176.5301075,182.5100545,187.0633914,194.0126622,199.2389484,202.006088,201.6176773,200.0261016,196.6871937,193.4380171,190.2896306,187.4403177,184.3860662,180.0815864,173.2497183,164.1762944,147.6585285,127.525696,98.88237923,64.88128879,27.14094212,-15.13001153,-57.47505859,-99.32986504,-139.818672,-179.566714,-220.8204323,-327.4268117,-383.9033349,-441.2772319,-500.4735394,-555.5188521,-608.4246875,-637.3708567,-656.2732549,-654.3339852,-631.7419261,-598.0152029,-534.0879099,-465.5882672,-388.2908495,-310.8050969,-233.2131963,-164.9268851,-102.1290281,-51.48714086,-8.174911733,30.82101209,61.7164142,83.80560773,85.10112064,93.86887906,107.2319262,130.1036094,146.9593517,146.9593517,146.9593517
1,2,_HHAB5,189.5856359,198.2213791,206.3274924,213.5432047,216.7490551,218.5116397,219.6995679,217.960515,213.1978796,203.3043723,191.9947501,178.716303,166.0518781,153.7787143,143.4192811,133.7666693,125.3316439,117.2272829,109.0411972,99.07051603,87.64052185,74.60179465,57.73705606,39.35977141,18.06667525,-4.364932282,-27.57290502,-56.06356435,-86.79905096,-121.5390449,-203.4581055,-261.7827903,-320.7714845,-380.612504,-434.7643904,-482.6235087,-518.481214,-533.3243105,-536.0635135,-516.739196,-481.3701911,-435.1877553,-370.6085461,-302.4080464,-230.632803,-161.6746511,-97.04611577,-39.2218288,6.13805504,45.54687249,75.7216449,101.1190724,123.9722694,143.9949026,152.3786603,152.0047719,163.0165582,177.3226619,195.7478602,197.9169311
