Syllable1,Syllable2,Normtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,1,_HHAA1,126.1636742,125.973205,125.7974619,125.6434994,125.563557,125.4475342,125.3334759,125.2777746,125.2887547,125.3363679,125.4194629,125.5292668,125.6431027,125.7578253,125.8502701,125.9038663,125.9174194,125.8571336,125.724608,125.5424771,125.3045525,125.0438736,124.7913067,124.5559839,124.3885926,124.2584224,124.1639234,124.1154556,124.1006267,124.116615,124.1802036,124.2770661,124.385763,124.5395528,124.7030595,124.8802203,125.0536808,125.2249083,125.3689799,125.5056206,125.5952552,125.674509,125.7221697,125.7569169,125.7762087,125.7852982,125.7892038,125.7806234,125.7688148,125.7409036,125.7064181,125.6555791,125.5926289,125.5173043,125.4992225,125.5053808,125.4595639,125.4046046,125.3196289,125.2623696
1,1,_HHAA2,122.8076629,122.879274,122.9774822,123.1195491,123.2234858,123.3310062,123.542996,123.7697927,124.0108152,124.2227273,124.4190214,124.5822331,124.7109204,124.8192324,124.8704456,124.9101153,124.9322894,124.9366937,124.9332689,124.9150056,124.8866371,124.8493079,124.7893011,124.7219117,124.6417997,124.5577729,124.474117,124.4471864,124.4550799,124.5115555,124.7498547,124.9473353,125.1398167,125.3139676,125.4683212,125.5962784,125.690617,125.7662785,125.7960355,125.8168276,125.8205338,125.81706,125.7956357,125.7586308,125.7060453,125.6110433,125.4990746,125.3294457,125.1490914,124.9309972,124.7034487,124.4588823,124.2324485,124.0196144,123.9491786,123.9175796,123.8259764,123.7254555,123.5922366,123.5161109
1,1,_HHAA3,127.8628994,127.4370386,127.0498823,126.730155,126.5377269,126.3846201,126.1552428,125.9981753,125.9264355,125.9689785,126.0448673,126.1588893,126.2577812,126.3444303,126.3774657,126.3876839,126.3521168,126.2808471,126.1899268,126.0858799,125.9902715,125.9086596,125.85138,125.80458,125.7744525,125.7447499,125.715526,125.6675772,125.6100447,125.5289241,125.3456767,125.2724857,125.2017427,125.1487036,125.1011966,125.0709276,125.0459139,125.0300656,125.0182636,125.0107426,125.0064112,125.0041417,125.0171861,125.0359271,125.0868422,125.1434197,125.2463469,125.3551464,125.5079527,125.6650016,125.837562,126.0086075,126.1766626,126.275361,126.2918931,126.337507,126.4042487,126.4962164,126.59896,126.6172316
1,1,_HHAA4,125.9369362,125.7054326,125.5685414,125.5499435,125.547923,125.5739185,125.6518375,125.8037543,125.965658,126.0883532,126.1313806,126.1178129,125.9701035,125.7701209,125.5282412,125.2605919,124.9904391,124.7171664,124.4870168,124.272797,124.0796523,123.9136355,123.7672333,123.662431,123.5899618,123.5388476,123.5291238,123.5536968,123.6058166,123.7162348,124.0114739,124.1996403,124.3964885,124.6078691,124.8143053,125.0171934,125.2065307,125.3740437,125.5193744,125.5828432,125.6093078,125.5590065,125.4516821,125.3090934,125.0920041,124.8826926,124.6879211,124.5432606,124.4239138,124.3644568,124.3361097,124.3404282,124.3523009,124.3617663,124.3595013,124.3658512,124.3777146,124.3641133,124.3470819,124.3246474
1,1,_HHAA5,123.5400185,123.6322086,123.7432736,123.8871585,124.0086857,124.1343576,124.3776878,124.635588,124.9105586,125.184305,125.4539747,125.7074444,125.9325386,126.1349604,126.2411928,126.3135436,126.3219448,126.2781456,126.2057769,126.0965482,125.9984903,125.9185451,125.8512969,125.786751,125.7094243,125.6197209,125.5164385,125.3746806,125.2216691,125.0532207,124.7737729,124.6768027,124.5914263,124.5251681,124.4726672,124.4232948,124.3651774,124.3142523,124.2702372,124.2536332,124.2502544,124.2739193,124.3207978,124.3810337,124.4628869,124.5408497,124.6129159,124.661112,124.6960263,124.6956424,124.6723969,124.628879,124.5618621,124.4917335,124.419807,124.3892765,124.3788321,124.3443753,124.3020467,124.2487361
1,2,_HHAB1,124.8243617,124.8553296,124.9453761,125.1002582,125.1989877,125.3809566,125.6767474,126.0859877,126.5056141,126.9232582,127.3128924,127.6589268,127.9282449,128.0785547,128.1702858,128.1854534,128.1309552,128.0438832,127.9212893,127.787718,127.6534405,127.5334846,127.4164525,127.2961292,127.1494928,126.9679912,126.760338,126.5056147,126.2109465,125.8712396,125.2693283,124.4804913,123.4190957,122.0710751,120.3229796,118.1517775,115.8330339,113.4354055,110.9896308,108.6417145,106.4413809,104.5084899,102.8797158,101.5391955,100.5011563,99.86582166,99.45370739,99.20530568,99.10923888,99.16236895,99.34731442,99.67464522,100.2303816,101.0279836,101.9839628,103.078125,103.0849519,103.418034,104.1013426,105.1380497
1,2,_HHAB2,125.9929288,126.2004211,126.4414468,126.7201431,126.9450959,127.2435433,127.6512316,127.9955117,128.297812,128.5389179,128.663228,128.7310373,128.7233407,128.6426888,128.515552,128.3105396,128.0477566,127.7497993,127.3995212,127.0551029,126.7199635,126.4288987,126.1968486,126.0114643,125.9165315,125.8526182,125.8157407,125.7940385,125.7419027,125.6564071,125.3027887,124.8624855,124.2823671,123.5520779,122.5370626,121.3439915,119.9948985,118.424048,116.5995095,114.6698958,112.6601589,110.6035626,108.6379538,106.7952917,105.3508733,104.2347371,103.3937192,102.9114773,102.6924298,102.6123798,102.655108,102.8376707,103.1343019,103.5518875,104.2136976,104.389572,104.3446408,104.7815509,105.4295885,105.9377493
1,2,_HHAB3,123.4569321,123.456886,123.480215,123.5440332,123.5980408,123.659377,123.8211751,124.0375732,124.3170303,124.6427312,124.9815641,125.3354224,125.664003,125.9728904,126.1602216,126.3050605,126.3705167,126.3702473,126.3344372,126.2352406,126.1293154,126.0129611,125.8871693,125.7575445,125.6221182,125.4862936,125.3500546,125.2132196,125.0700311,124.9049563,124.4619001,124.0813265,123.5484932,122.8313682,121.8154209,120.6358146,119.218296,117.5015658,115.6802377,113.7624605,111.7700441,109.7569633,107.7896345,105.9656871,104.2555409,102.8775707,101.7346492,100.8051468,100.279296,99.90629039,99.72385563,99.71074132,99.77129956,99.93341826,100.195116,100.4012065,100.3433967,100.4526592,100.658299,100.9933443
1,2,_HHAB4,124.6264807,124.6222653,124.6291486,124.6562138,124.678872,124.7032442,124.7786866,124.8923725,125.0590339,125.2773873,125.5177082,125.8045298,126.0988946,126.4013116,126.6322879,126.8315964,126.9561749,127.030352,127.0629777,127.0298472,126.9814049,126.9092243,126.8239134,126.7302974,126.603967,126.4645727,126.3000159,126.1204496,125.9322784,125.700166,125.0227974,124.4954579,123.8029066,122.942154,121.83385,120.5032955,119.0023738,117.3121523,115.4823262,113.5608188,111.5620788,109.5516668,107.6077088,105.7511631,104.0454505,102.713752,101.6449653,100.8404862,100.438294,100.2230879,100.1528765,100.2009018,100.35908,100.6227051,101.0117209,101.6124208,101.8230678,101.7872199,102.2220729,102.8912672
1,2,_HHAB5,124.632674,124.8989853,125.1610318,125.4186293,125.5507139,125.7236384,125.9460149,126.0927408,126.2038038,126.2749014,126.3213833,126.3683931,126.4183612,126.4645626,126.5055306,126.5393165,126.5490405,126.5384335,126.4997391,126.4238565,126.3222871,126.1850548,126.0141111,125.8217152,125.5992343,125.3033642,124.9723606,124.5985029,124.0765243,123.4133309,122.5008068,121.4718386,120.2412989,118.7644068,116.9842966,115.1027253,113.0952985,110.9275229,108.7265543,106.5462223,104.4416732,102.3792806,100.3717598,98.59773957,97.00332324,95.8638633,94.94993576,94.26142485,94.00710759,93.88910901,93.94130262,94.16996896,94.50779907,95.02761874,95.72919936,96.31820482,96.21569834,96.48875651,97.00036923,97.83983208
