"Syllable1","Syllable2","time","f0_norm_bk","speaker","pitch_con","syl","tone","prev"
"1","1",11,0.00168327292096215,"s3","_HHAA1_s3_1","1","1","none"
"1","1",12,0.00284434159220881,"s3","_HHAA1_s3_1","1","1","none"
"1","1",13,0.00404800616104528,"s3","_HHAA1_s3_1","1","1","none"
"1","1",14,0.00526100667438478,"s3","_HHAA1_s3_1","1","1","none"
"1","1",15,0.00623842749193226,"s3","_HHAA1_s3_1","1","1","none"
"1","1",16,0.00680508936449642,"s3","_HHAA1_s3_1","1","1","none"
"1","1",17,0.00694838219069505,"s3","_HHAA1_s3_1","1","1","none"
"1","1",18,0.00631099438768512,"s3","_HHAA1_s3_1","1","1","none"
"1","1",19,0.00490979312965933,"s3","_HHAA1_s3_1","1","1","none"
"1","1",20,0.00298402511271822,"s3","_HHAA1_s3_1","1","1","none"
"1","1",21,0.000468168942984182,"s3","_HHAA1_s3_1","1","1","none"
"1","1",22,-0.00228849165886169,"s3","_HHAA1_s3_1","1","1","none"
"1","1",23,-0.00495956407098808,"s3","_HHAA1_s3_1","1","1","none"
"1","1",24,-0.00744844096679187,"s3","_HHAA1_s3_1","1","1","none"
"1","1",25,-0.00921894598716722,"s3","_HHAA1_s3_1","1","1","none"
"1","1",26,-0.0105958200071301,"s3","_HHAA1_s3_1","1","1","none"
"1","1",27,-0.011595414119749,"s3","_HHAA1_s3_1","1","1","none"
"1","1",28,-0.0121081085355195,"s3","_HHAA1_s3_1","1","1","none"
"1","1",29,-0.0122649706671822,"s3","_HHAA1_s3_1","1","1","none"
"1","1",30,-0.0120958442715899,"s3","_HHAA1_s3_1","1","1","none"
"1","1",1,-0.0138091101515418,"s1","_HHAA2_s1_1","1","1","none"
"1","1",2,-0.0126723359104051,"s1","_HHAA2_s1_1","1","1","none"
"1","1",3,-0.0115165147259719,"s1","_HHAA2_s1_1","1","1","none"
"1","1",4,-0.0103402367839447,"s1","_HHAA2_s1_1","1","1","none"
"1","1",5,-0.00950184030889911,"s1","_HHAA2_s1_1","1","1","none"
"1","1",6,-0.00823251576215545,"s1","_HHAA2_s1_1","1","1","none"
"1","1",7,-0.00641354239493608,"s1","_HHAA2_s1_1","1","1","none"
"1","1",8,-0.00440949371096,"s1","_HHAA2_s1_1","1","1","none"
"1","1",9,-0.0023758000061036,"s1","_HHAA2_s1_1","1","1","none"
"1","1",10,-0.000319945599544402,"s1","_HHAA2_s1_1","1","1","none"
"1","1",11,0.00167379575610394,"s1","_HHAA2_s1_1","1","1","none"
"1","1",12,0.00354899704108558,"s1","_HHAA2_s1_1","1","1","none"
"1","1",13,0.00523922810874922,"s1","_HHAA2_s1_1","1","1","none"
"1","1",14,0.00657568000353792,"s1","_HHAA2_s1_1","1","1","none"
"1","1",15,0.00774523793198112,"s1","_HHAA2_s1_1","1","1","none"
"1","1",16,0.00870467079405968,"s1","_HHAA2_s1_1","1","1","none"
"1","1",17,0.00934520071879641,"s1","_HHAA2_s1_1","1","1","none"
"1","1",18,0.00979013756521141,"s1","_HHAA2_s1_1","1","1","none"
"1","1",19,0.00994550803162841,"s1","_HHAA2_s1_1","1","1","none"
"1","1",20,0.00978481604586112,"s1","_HHAA2_s1_1","1","1","none"
"1","1",21,0.00937843518706982,"s1","_HHAA2_s1_1","1","1","none"
"1","1",22,0.00853637732530532,"s1","_HHAA2_s1_1","1","1","none"
"1","1",23,0.00724885455302049,"s1","_HHAA2_s1_1","1","1","none"
"1","1",24,0.00566501312142198,"s1","_HHAA2_s1_1","1","1","none"
"1","1",25,0.00359235525983226,"s1","_HHAA2_s1_1","1","1","none"
"1","1",26,0.00101303862771807,"s1","_HHAA2_s1_1","1","1","none"
"1","1",27,-0.00187972311378148,"s1","_HHAA2_s1_1","1","1","none"
"1","1",28,-0.0052257189504108,"s1","_HHAA2_s1_1","1","1","none"
"1","1",29,-0.00870506377646452,"s1","_HHAA2_s1_1","1","1","none"
"1","1",30,-0.0123855048762636,"s1","_HHAA2_s1_1","1","1","none"
"1","1",1,-0.1018600967445,"s2","_HHAA2_s2_1","1","1","none"
"1","1",2,-0.0966223328735589,"s2","_HHAA2_s2_1","1","1","none"
"1","1",3,-0.0910167438345897,"s2","_HHAA2_s2_1","1","1","none"
"1","1",4,-0.0842142515782489,"s2","_HHAA2_s2_1","1","1","none"
"1","1",5,-0.0782045258202666,"s2","_HHAA2_s2_1","1","1","none"
"1","1",6,-0.073086054328132,"s2","_HHAA2_s2_1","1","1","none"
"1","1",7,-0.0636194223643638,"s2","_HHAA2_s2_1","1","1","none"
"1","1",8,-0.0523441223834571,"s2","_HHAA2_s2_1","1","1","none"
"1","1",9,-0.0407824147201115,"s2","_HHAA2_s2_1","1","1","none"
"1","1",10,-0.0294227298726124,"s2","_HHAA2_s2_1","1","1","none"
"1","1",11,-0.0190749844416507,"s2","_HHAA2_s2_1","1","1","none"
"1","1",12,-0.00925162109231548,"s2","_HHAA2_s2_1","1","1","none"
"1","1",13,-0.000175423695969457,"s2","_HHAA2_s2_1","1","1","none"
"1","1",14,0.00771777882223623,"s2","_HHAA2_s2_1","1","1","none"
