"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1",126.1636742,125.973205,125.7974619,125.6434994,125.563557,125.4475342,125.3334759,125.2777746,125.2887547,125.3363679,125.4194629,125.5292668,125.6431027,125.7578253,125.8502701,125.9038663,125.9174194,125.8571336,125.724608,125.5424771,125.3045525,125.0438736,124.7913067,124.5559839,124.3885926,124.2584224,124.1639234,124.1154556,124.1006267,124.116615
"2",122.8076629,122.879274,122.9774822,123.1195491,123.2234858,123.3310062,123.542996,123.7697927,124.0108152,124.2227273,124.4190214,124.5822331,124.7109204,124.8192324,124.8704456,124.9101153,124.9322894,124.9366937,124.9332689,124.9150056,124.8866371,124.8493079,124.7893011,124.7219117,124.6417997,124.5577729,124.474117,124.4471864,124.4550799,124.5115555
"3",127.8628994,127.4370386,127.0498823,126.730155,126.5377269,126.3846201,126.1552428,125.9981753,125.9264355,125.9689785,126.0448673,126.1588893,126.2577812,126.3444303,126.3774657,126.3876839,126.3521168,126.2808471,126.1899268,126.0858799,125.9902715,125.9086596,125.85138,125.80458,125.7744525,125.7447499,125.715526,125.6675772,125.6100447,125.5289241
"4",125.9369362,125.7054326,125.5685414,125.5499435,125.547923,125.5739185,125.6518375,125.8037543,125.965658,126.0883532,126.1313806,126.1178129,125.9701035,125.7701209,125.5282412,125.2605919,124.9904391,124.7171664,124.4870168,124.272797,124.0796523,123.9136355,123.7672333,123.662431,123.5899618,123.5388476,123.5291238,123.5536968,123.6058166,123.7162348
"5",123.5400185,123.6322086,123.7432736,123.8871585,124.0086857,124.1343576,124.3776878,124.635588,124.9105586,125.184305,125.4539747,125.7074444,125.9325386,126.1349604,126.2411928,126.3135436,126.3219448,126.2781456,126.2057769,126.0965482,125.9984903,125.9185451,125.8512969,125.786751,125.7094243,125.6197209,125.5164385,125.3746806,125.2216691,125.0532207
"6",124.8243617,124.8553296,124.9453761,125.1002582,125.1989877,125.3809566,125.6767474,126.0859877,126.5056141,126.9232582,127.3128924,127.6589268,127.9282449,128.0785547,128.1702858,128.1854534,128.1309552,128.0438832,127.9212893,127.787718,127.6534405,127.5334846,127.4164525,127.2961292,127.1494928,126.9679912,126.760338,126.5056147,126.2109465,125.8712396
"7",125.9929288,126.2004211,126.4414468,126.7201431,126.9450959,127.2435433,127.6512316,127.9955117,128.297812,128.5389179,128.663228,128.7310373,128.7233407,128.6426888,128.515552,128.3105396,128.0477566,127.7497993,127.3995212,127.0551029,126.7199635,126.4288987,126.1968486,126.0114643,125.9165315,125.8526182,125.8157407,125.7940385,125.7419027,125.6564071
"8",123.4569321,123.456886,123.480215,123.5440332,123.5980408,123.659377,123.8211751,124.0375732,124.3170303,124.6427312,124.9815641,125.3354224,125.664003,125.9728904,126.1602216,126.3050605,126.3705167,126.3702473,126.3344372,126.2352406,126.1293154,126.0129611,125.8871693,125.7575445,125.6221182,125.4862936,125.3500546,125.2132196,125.0700311,124.9049563
"9",124.6264807,124.6222653,124.6291486,124.6562138,124.678872,124.7032442,124.7786866,124.8923725,125.0590339,125.2773873,125.5177082,125.8045298,126.0988946,126.4013116,126.6322879,126.8315964,126.9561749,127.030352,127.0629777,127.0298472,126.9814049,126.9092243,126.8239134,126.7302974,126.603967,126.4645727,126.3000159,126.1204496,125.9322784,125.700166
"10",124.632674,124.8989853,125.1610318,125.4186293,125.5507139,125.7236384,125.9460149,126.0927408,126.2038038,126.2749014,126.3213833,126.3683931,126.4183612,126.4645626,126.5055306,126.5393165,126.5490405,126.5384335,126.4997391,126.4238565,126.3222871,126.1850548,126.0141111,125.8217152,125.5992343,125.3033642,124.9723606,124.5985029,124.0765243,123.4133309
"11",124.9596265,125.380491,125.8196836,126.2758161,126.6146109,127.1179737,127.7765486,128.3952817,128.9901733,129.5608764,130.045022,130.4694483,130.8372998,131.100011,131.2841694,131.3961526,131.3939922,131.3505752,131.2705189,131.1413354,131.0203614,130.9073543,130.8163194,130.7004282,130.5583558,130.3228941,130.0114569,129.6346384,129.1494888,128.6686004
