Syllable1,Syllable2,Normtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,1,_HHAA1,-16.52862289,-14.86606842,-12.86563394,-10.65834707,-8.868238867,-5.594322653,-1.668223897,2.138550249,5.081474538,7.206167661,8.27291097,7.275253724,5.048452816,1.620357363,-3.395327627,-8.778637624,-14.29805618,-19.32107342,-22.82427418,-25.05970231,-25.57379301,-24.15909194,-21.57885336,-17.81650645,-13.26500094,-8.465986415,-3.466946889,1.560678702,6.170111699,10.57325247,15.02599343,17.179104,19.06363534,19.92478857,20.27059188,19.89224099,18.7610221,17.17548755,14.89039538,12.45669805,9.855254527,7.305110825,4.91109594,2.725848434,0.790462738,-0.788333666,-2.185945549,-3.280240501,-4.318919495,-5.232830001,-6.135475952,-7.010101648,-7.438066546,-7.409665318,-7.760764658,-8.27256873,-9.097696337,-9.852415773,-9.852415773,-9.852415773
1,1,_HHAA2,21.31731649,22.27126558,23.18866623,24.04579861,24.40185718,24.55482681,24.44270306,23.7796224,22.58720246,20.36104774,17.78784722,14.61552776,11.36642887,8.079605898,5.037441915,2.199709854,-0.328175727,-2.369231573,-4.158486992,-5.333868932,-6.00867336,-6.239598341,-5.058909714,-3.261563977,-0.278171624,3.40423733,7.457583014,11.86751743,15.74364604,18.87507406,21.23630748,20.38826745,19.20853203,16.81257791,14.092588,10.94054927,7.668235061,4.329100855,0.84741074,-2.666307103,-6.287513638,-9.889094124,-13.44160902,-16.77563868,-19.89118115,-22.26874649,-24.35111728,-25.35170791,-26.12505027,-26.03418527,-25.73721524,-25.06925051,-24.79433798,-24.8142192,-24.5633269,-24.23858546,-23.78662377,-23.43150841,-23.43150841,-23.43150841
1,1,_HHAA3,-34.56159072,-30.92772177,-27.28465584,-23.62556739,-20.60107411,-17.55329343,-12.01233421,-7.135493085,-3.042332723,-0.839198749,0.594974818,0.459549983,-0.568766208,-2.319581079,-4.378565438,-6.272071243,-7.673853148,-8.656872316,-9.404394511,-9.565312142,-9.614667177,-9.478975507,-9.523129838,-9.651029533,-9.955490003,-10.33702215,-10.80540979,-11.13728322,-11.33919882,-11.12805769,-9.834230006,-8.72518179,-7.590508203,-6.270512587,-4.930122577,-3.526183896,-2.036261007,-0.396382387,1.3936746,3.34261935,5.51071007,7.820455637,10.15615057,12.50149856,14.45613804,16.34201424,17.52326685,18.61210966,19.00144466,19.2757038,19.12924243,19.06480899,19.16229476,19.14720896,18.99876052,18.82629219,18.63637352,18.5795281,18.5795281,18.5795281
1,1,_HHAA4,1.382559163,2.768062019,3.709797973,4.096695485,3.893153839,3.105898758,1.298203596,-2.198799367,-6.48054935,-11.81911232,-17.32003829,-22.74138428,-26.87033507,-29.86001561,-31.93657241,-32.09584019,-31.44323862,-29.77467237,-27.05078898,-23.88388145,-20.09451383,-15.71563486,-11.05941566,-6.022802923,-0.756939939,4.609885775,9.862766055,14.77541524,19.4147949,22.99063428,28.06993748,28.34792351,27.93240276,26.35601195,23.25807956,19.43505616,14.08276959,8.313985656,2.121876535,-3.709633127,-9.058906025,-13.08040134,-15.5311738,-17.0105782,-16.37664307,-15.1948082,-13.09330603,-10.61942101,-8.07755645,-6.025944978,-4.349095496,-3.065746106,-2.432614022,-1.993334406,-1.844392701,-1.832787541,-1.90907777,-2.093082006,-2.212407095,-2.212407095
1,1,_HHAA5,24.7309903,26.56456478,28.3941654,30.21685624,31.39756238,32.3622375,33.52725137,33.89217932,33.31972852,30.88495781,27.65876691,22.743669,17.31027297,11.46274658,5.914768314,0.770479532,-3.430637676,-6.613051197,-9.234368493,-10.92223998,-12.46388647,-13.7684396,-15.07906236,-16.39433539,-17.73020325,-18.7914587,-19.55142511,-19.56767744,-19.27712349,-18.34633334,-15.25126231,-13.34986605,-11.48671207,-9.686619568,-7.813331215,-5.894844455,-3.835948524,-1.760066197,0.332136107,2.257314208,3.969033927,5.14744595,5.609092643,5.652653413,4.752089049,3.583579636,2.008956295,0.241366022,-1.530432347,-3.014323781,-4.260383091,-5.29554573,-5.935790305,-6.390456518,-6.480545682,-6.574017562,-6.671640488,-6.827506649,-6.918295802,-6.918295802
1,2,_HHAB1,24.71095574,27.89724773,31.21728414,34.68409753,36.34747213,38.23454781,40.53410604,40.36788394,38.63751297,34.80187099,28.70499527,21.75577639,13.85182854,6.255829218,-0.790590424,-6.668900248,-10.98473366,-14.4460692,-16.72774356,-18.68256822,-20.61462847,-22.96609219,-26.47485619,-30.88914291,-37.25025122,-45.10092412,-54.42532282,-68.79559855,-87.11363214,-109.3013091,-148.067873,-182.9463177,-215.8561134,-245.5737273,-268.385562,-281.5495427,-286.5532027,-283.0649414,-267.9352126,-245.6429317,-217.6478418,-184.2752268,-148.3821233,-112.9023197,-78.68118081,-48.65549429,-22.2312688,1.155222322,21.20228165,37.32373147,50.9631631,62.32235892,71.34369342,79.20211477,83.91786646,83.66255502,87.47959672,92.99411914,98.4343422,98.4343422
1,2,_HHAB2,38.92833255,38.89198468,38.38456095,37.34794179,35.79400934,33.21194037,29.21302025,23.24581251,16.27413964,7.946139403,-0.885387894,-9.664263341,-18.06624408,-25.20188365,-31.32719271,-35.45125857,-37.51025758,-38.29902238,-37.15897899,-34.94822065,-32.08017404,-28.60776896,-25.83508847,-23.70447097,-23.93958172,-25.63555502,-28.63047163,-36.51332867,-46.86699047,-59.92901916,-87.4315052,-112.2192853,-137.8294739,-163.8498628,-188.3752188,-209.7901933,-227.65203,-239.281325,-242.8787877,-240.4921854,-231.4058311,-211.9838141,-187.0427857,-157.0814759,-123.1016101,-89.86699469,-58.20923099,-30.85733987,-9.839945973,7.208563086,20.11395577,30.00663417,39.02878401,47.07984391,46.76383138,49.59475884,55.04578702,63.23449225,65.41437112,65.41437112
1,2,_HHAB3,15.1168179,18.17420644,21.53016534,25.40329075,28.04584533,30.3819701,34.04332739,36.72952451,38.28948029,37.43152961,35.49845817,31.18690988,25.56164787,18.91291123,11.63500987,4.503161606,-2.161187772,-7.778044823,-12.80292487,-15.86569758,-18.39945803,-20.11324945,-21.87567797,-23.75982225,-26.39297145,-29.62370577,-33.47592861,-40.83952325,-49.79151368,-62.2389533,-97.60646808,-124.8697297,-152.8524315,-181.7059273,-208.8459373,-233.5906335,-254.349786,-266.1654186,-273.1218016,-272.3158338,-263.6694653,-250.0628869,-227.336026,-200.0613561,-169.7907358,-136.9282911,-105.1337076,-74.3087189,-49.74379896,-28.58240573,-11.75192411,0.16645349,10.10722044,17.42039704,19.38920263,20.42031763,23.09787662,27.09890223,31.03311688,31.03311688
1,2,_HHAB4,7.265812726,9.838731323,12.6395193,15.85466327,18.32695252,20.61323026,24.61221438,28.07331828,30.78934023,31.77599618,31.94087773,29.96302087,26.92423062,22.75293608,17.40438402,11.78351271,5.972483061,0.437356267,-4.870312841,-9.361709326,-13.56032877,-17.16851375,-21.3571109,-25.91281745,-31.46366357,-37.36636117,-43.9386768,-52.57550712,-62.25426063,-73.66532612,-105.285542,-128.4188187,-152.1285319,-176.1035803,-199.3997051,-219.219887,-235.3623237,-246.6200991,-250.8090999,-249.9288332,-243.8317206,-229.2939486,-207.8442907,-181.3548188,-149.7980134,-116.3260646,-83.71931615,-52.78816192,-28.4080445,-8.637574352,7.209055577,18.80526618,28.41937598,37.28993426,45.78820026,45.64683552,48.33157896,54.0407555,62.78209346,65.18782677
1,2,_HHAB5,28.83056703,27.55924874,26.10997356,24.475052,23.08497199,20.90850185,17.83309193,14.87078259,12.18707133,9.84166659,7.88498179,6.026696426,4.265522346,2.037159789,-0.587910473,-3.732730206,-7.519696552,-11.61941192,-16.0995303,-21.03801665,-26.33985829,-32.16346996,-39.78631758,-48.65895422,-59.33955523,-72.51469532,-88.02846063,-107.4280319,-130.458729,-156.5832631,-187.9576791,-216.2271923,-242.2543887,-265.5411178,-282.761204,-296.4604631,-304.8734278,-304.9245607,-300.5094245,-288.9672824,-269.9475629,-246.2849189,-214.471285,-179.3804273,-142.0913062,-104.5295868,-69.549511,-37.14975348,-12.49264633,8.763603996,25.53089603,38.19355244,49.40065081,58.90084057,61.1518821,62.04263524,67.14243826,74.46842322,82.1376478,82.1376478
