"","Syllable1","Syllable2","Normtime","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","speaker","pitch_con","syl","tone","prevsyl"
"1543","2","1","_LLBA3",120.4576105,122.1220992,123.8024356,125.5166668,127.2264124,128.933604,130.5575568,132.1589057,133.7106604,135.0697247,136.2965281,137.1447065,137.8695731,138.3048524,138.5457166,138.6267229,138.573344,138.484879,138.3327813,138.1476897,137.9302008,137.5897919,137.1839362,136.5417175,136.2963718,136.5162631,136.3240717,135.9872013,135.3937183,135.0472075,"s2","_LLBA3_s2_2","2","1","2"
"1544","2","1","_LLBA4",115.542048,117.449657,119.3599874,121.2732248,123.061122,124.6840036,126.1108588,127.201168,128.1609644,128.9718641,129.6642723,130.3651031,131.1002164,131.9700414,132.8897235,133.8636024,134.7901235,135.6546718,136.4067124,136.9445533,137.3574766,137.5901478,137.6566996,137.5850858,137.252329,137.3408923,137.4993762,137.3703558,137.1563716,136.9532192,"s2","_LLBA4_s2_2","2","1","2"
"1545","2","1","_LLBA5",115.2171765,116.8918776,118.5853558,120.3153104,121.9040095,123.4208073,124.6698281,125.8224108,126.8030602,127.6095746,128.3353648,128.9182117,129.4570018,129.9235592,130.2635726,130.5447927,130.6770304,130.746542,130.72132,130.5616126,130.3430083,129.9920558,129.5725684,129.0576069,128.4569163,127.8928433,127.9211591,127.794091,127.4671476,126.9475124,"s2","_LLBA5_s2_2","2","1","2"
"1546","2","2","_LLBB1",124.194512,124.1930431,124.1816771,124.093181,123.9890197,123.8316488,123.6561023,123.4454566,123.2512125,123.0766228,122.95438,122.871851,122.9002296,122.9802415,123.2930611,123.6655232,124.2954527,124.9556493,125.8125823,126.6780075,127.5968237,128.464815,129.1811013,129.7000212,129.8750931,130.0687268,130.2825988,130.5466219,130.8451914,130.9330182,"s2","_LLBB1_s2_2","2","2","2"
"1547","2","2","_LLBB2",131.409216,130.5351483,129.4730174,128.1506493,126.5915894,124.9346198,123.1270864,121.4560138,119.8783161,118.5650265,117.4272264,116.453364,115.8960373,115.5057898,115.3666865,115.5595841,115.9323608,116.6509447,117.593798,118.6810755,119.8747775,121.0283733,122.1336453,123.0103818,123.6595976,123.8389694,124.0529525,124.2977511,124.6535819,124.8133318,"s2","_LLBB2_s2_2","2","2","2"
"1548","2","2","_LLBB3",113.1018584,113.8280089,114.5092553,115.0471893,115.4735879,115.7777701,115.9809879,116.1441052,116.2267253,116.3030224,116.3689895,116.46837,116.6117796,116.8163199,117.0509645,117.3551061,117.6716015,118.0191755,118.342863,118.6285173,118.8339167,118.9910279,118.9732804,118.9075913,118.6633967,118.5304388,118.6133413,118.5327488,118.333105,117.9766549,"s2","_LLBB3_s2_2","2","2","2"
"1549","2","2","_LLBB4",117.0384996,117.1519101,117.2227487,117.2476543,117.2187777,117.1682634,117.0932164,116.9521558,116.7768409,116.5591838,116.286275,115.9895003,115.6638253,115.3732406,115.1273087,114.9595895,114.8922096,114.8975827,115.0228358,115.2888332,115.6225271,116.0334075,116.507956,117.0011386,117.4782045,117.6632079,117.7481796,117.9604568,118.2509653,118.5359915,"s2","_LLBB4_s2_2","2","2","2"
"1550","2","2","_LLBB5",114.2218404,114.6462844,115.0231029,115.3100823,115.4733355,115.5749839,115.5114029,115.3813105,115.1453436,114.8364983,114.5000298,114.1520991,113.8274276,113.5341987,113.3756231,113.2834758,113.3898049,113.5887728,113.8945091,114.3344072,114.8059189,115.2793229,115.6913804,116.0430514,116.2558573,116.4239941,116.5095536,116.5465323,116.5426761,116.5152277,"s2","_LLBB5_s2_2","2","2","2"
"1551","2","3","_LLBC1",130.154485,129.9516159,129.6835738,129.1774518,128.4716572,127.5009919,126.0860799,124.4263808,121.9997487,119.3875208,116.0258439,112.5107402,108.6190493,104.6927807,100.7325362,97.03160164,93.43185903,90.26362909,87.20759493,84.61833883,82.24352894,80.24334416,78.57716186,77.15388385,76.59742125,76.26572733,75.89947342,75.49149723,74.93872706,74.62840483,"s2","_LLBC1_s2_2","2","3","2"
"1552","2","3","_LLBC2",116.2861053,116.7473962,117.1748087,117.466859,117.6836513,117.7877247,117.7169774,117.5299427,116.9873255,116.3556807,115.132669,113.7688305,111.8454363,109.6758903,107.1390335,104.3441689,101.3783201,98.28415609,95.15830471,92.07158124,89.04966258,86.2838123,83.69237665,81.36023989,80.2648891,79.98611902,79.06923336,77.99401639,76.43957376,75.20046019,"s2","_LLBC2_s2_2","2","3","2"
