"Syllable1","Syllable2","time","f0_norm_ct","speaker","pitch_con","syl","tone","prev"
"1","1",13,5.30417376921059,"s3","_HHAA1_s3_1","1","1","none"
"1","1",14,6.88421316432186,"s3","_HHAA1_s3_1","1","1","none"
"1","1",15,8.15637885013916,"s3","_HHAA1_s3_1","1","1","none"
"1","1",16,8.89350729671946,"s3","_HHAA1_s3_1","1","1","none"
"1","1",17,9.07985840796755,"s3","_HHAA1_s3_1","1","1","none"
"1","1",18,8.25079263951557,"s3","_HHAA1_s3_1","1","1","none"
"1","1",19,6.4268697200273,"s3","_HHAA1_s3_1","1","1","none"
"1","1",20,3.91709992217284,"s3","_HHAA1_s3_1","1","1","none"
"1","1",21,0.633000502644563,"s3","_HHAA1_s3_1","1","1","none"
"1","1",22,-2.97234551599831,"s3","_HHAA1_s3_1","1","1","none"
"1","1",23,-6.47267373540944,"s3","_HHAA1_s3_1","1","1","none"
"1","1",24,-9.74039694872067,"s3","_HHAA1_s3_1","1","1","none"
"1","1",25,-12.0685742950711,"s3","_HHAA1_s3_1","1","1","none"
"1","1",26,-13.8812250763506,"s3","_HHAA1_s3_1","1","1","none"
"1","1",27,-15.1983360131062,"s3","_HHAA1_s3_1","1","1","none"
"1","1",28,-15.8742609090616,"s3","_HHAA1_s3_1","1","1","none"
"1","1",29,-16.0811153270581,"s3","_HHAA1_s3_1","1","1","none"
"1","1",30,-15.8580890038634,"s3","_HHAA1_s3_1","1","1","none"
"1","1",1,-18.6829297269023,"s1","_HHAA2_s1_1","1","1","none"
"1","1",2,-17.1348334926092,"s1","_HHAA2_s1_1","1","1","none"
"1","1",3,-15.5621697770887,"s1","_HHAA2_s1_1","1","1","none"
"1","1",4,-13.9630886577968,"s1","_HHAA2_s1_1","1","1","none"
"1","1",5,-12.8242087068602,"s1","_HHAA2_s1_1","1","1","none"
"1","1",6,-11.1013322592366,"s1","_HHAA2_s1_1","1","1","none"
"1","1",7,-8.63529387636459,"s1","_HHAA2_s1_1","1","1","none"
"1","1",8,-5.92226887281959,"s1","_HHAA2_s1_1","1","1","none"
"1","1",9,-3.17330596761417,"s1","_HHAA2_s1_1","1","1","none"
"1","1",10,-0.398669445219412,"s1","_HHAA2_s1_1","1","1","none"
"1","1",11,2.28803930401477,"s1","_HHAA2_s1_1","1","1","none"
"1","1",12,4.81133545667899,"s1","_HHAA2_s1_1","1","1","none"
"1","1",13,7.08269231970894,"s1","_HHAA2_s1_1","1","1","none"
"1","1",14,8.87659972583651,"s1","_HHAA2_s1_1","1","1","none"
"1","1",15,10.445014882471,"s1","_HHAA2_s1_1","1","1","none"
"1","1",16,11.7306214869268,"s1","_HHAA2_s1_1","1","1","none"
"1","1",17,12.5883962325474,"s1","_HHAA2_s1_1","1","1","none"
"1","1",18,13.1839982088125,"s1","_HHAA2_s1_1","1","1","none"
"1","1",19,13.3919338246576,"s1","_HHAA2_s1_1","1","1","none"
"1","1",20,13.1768758784719,"s1","_HHAA2_s1_1","1","1","none"
"1","1",21,12.6328914424698,"s1","_HHAA2_s1_1","1","1","none"
"1","1",22,11.5051807833647,"s1","_HHAA2_s1_1","1","1","none"
"1","1",23,9.7795162986763,"s1","_HHAA2_s1_1","1","1","none"
"1","1",24,7.65441467296114,"s1","_HHAA2_s1_1","1","1","none"
"1","1",25,4.86963685053547,"s1","_HHAA2_s1_1","1","1","none"
"1","1",26,1.39806822375817,"s1","_HHAA2_s1_1","1","1","none"
"1","1",27,-2.50339372721487,"s1","_HHAA2_s1_1","1","1","none"
"1","1",28,-7.0267557496561,"s1","_HHAA2_s1_1","1","1","none"
"1","1",29,-11.7425362902786,"s1","_HHAA2_s1_1","1","1","none"
"1","1",30,-16.7444290422302,"s1","_HHAA2_s1_1","1","1","none"
"1","1",1,-117.149500603384,"s2","_HHAA2_s2_1","1","1","none"
"1","1",2,-110.877447574238,"s2","_HHAA2_s2_1","1","1","none"
"1","1",3,-104.188943504723,"s2","_HHAA2_s2_1","1","1","none"
"1","1",4,-96.1053814609718,"s2","_HHAA2_s2_1","1","1","none"
"1","1",5,-88.9937959284496,"s2","_HHAA2_s2_1","1","1","none"
"1","1",6,-82.958820979482,"s2","_HHAA2_s2_1","1","1","none"
"1","1",7,-71.8498214029119,"s2","_HHAA2_s2_1","1","1","none"
"1","1",8,-58.7066126087125,"s2","_HHAA2_s2_1","1","1","none"
"1","1",9,-45.327741553298,"s2","_HHAA2_s2_1","1","1","none"
"1","1",10,-32.278014544052,"s2","_HHAA2_s2_1","1","1","none"
"1","1",11,-20.4718488029096,"s2","_HHAA2_s2_1","1","1","none"
"1","1",12,-9.33450262229439,"s2","_HHAA2_s2_1","1","1","none"
"1","1",13,0.89545281943515,"s2","_HHAA2_s2_1","1","1","none"
"1","1",14,9.74550494928667,"s2","_HHAA2_s2_1","1","1","none"
"1","1",15,17.8338792500776,"s2","_HHAA2_s2_1","1","1","none"
"1","1",16,24.82907298992,"s2","_HHAA2_s2_1","1","1","none"
"1","1",17,31.5775753813357,"s2","_HHAA2_s2_1","1","1","none"
"1","1",18,37.7146895179949,"s2","_HHAA2_s2_1","1","1","none"
"1","1",19,43.3831927814122,"s2","_HHAA2_s2_1","1","1","none"
"1","1",20,48.216189391311,"s2","_HHAA2_s2_1","1","1","none"
"1","1",21,52.4085608830289,"s2","_HHAA2_s2_1","1","1","none"
"1","1",22,56.1527087669256,"s2","_HHAA2_s2_1","1","1","none"
"1","1",23,58.9155582036728,"s2","_HHAA2_s2_1","1","1","none"
"1","1",24,61.3939146463881,"s2","_HHAA2_s2_1","1","1","none"
"1","1",25,62.7210952346541,"s2","_HHAA2_s2_1","1","1","none"
"1","1",26,63.9727960158425,"s2","_HHAA2_s2_1","1","1","none"
"1","1",27,65.0449939406026,"s2","_HHAA2_s2_1","1","1","none"
"1","1",28,66.2564007626318,"s2","_HHAA2_s2_1","1","1","none"
"1","1",29,67.5911966509198,"s2","_HHAA2_s2_1","1","1","none"
"1","1",30,69.5896493999858,"s2","_HHAA2_s2_1","1","1","none"
"1","1",1,-20.5346536366878,"s3","_HHAA2_s3_1","1","1","none"
"1","1",2,-19.5254377647636,"s3","_HHAA2_s3_1","1","1","none"
"1","1",3,-18.1423446872464,"s3","_HHAA2_s3_1","1","1","none"
"1","1",4,-16.1435308003217,"s3","_HHAA2_s3_1","1","1","none"
"1","1",5,-14.6826511392594,"s3","_HHAA2_s3_1","1","1","none"
"1","1",6,-13.1726969888455,"s3","_HHAA2_s3_1","1","1","none"
"1","1",7,-10.1994876047147,"s3","_HHAA2_s3_1","1","1","none"
"1","1",8,-7.02425124604906,"s3","_HHAA2_s3_1","1","1","none"
"1","1",9,-3.65621939131483,"s3","_HHAA2_s3_1","1","1","none"
"1","1",10,-0.700377659728701,"s3","_HHAA2_s3_1","1","1","none"
"1","1",11,2.03312226076559,"s3","_HHAA2_s3_1","1","1","none"
"1","1",12,4.30265052703089,"s3","_HHAA2_s3_1","1","1","none"
"1","1",13,6.09000691531082,"s3","_HHAA2_s3_1","1","1","none"
"1","1",14,7.59293898179635,"s3","_HHAA2_s3_1","1","1","none"
"1","1",15,8.30311681177432,"s3","_HHAA2_s3_1","1","1","none"
"1","1",16,8.85301978009329,"s3","_HHAA2_s3_1","1","1","none"
"1","1",17,9.16032195383218,"s3","_HHAA2_s3_1","1","1","none"
"1","1",18,9.22135293117503,"s3","_HHAA2_s3_1","1","1","none"
"1","1",19,9.1738952030837,"s3","_HHAA2_s3_1","1","1","none"
"1","1",20,8.92079722249605,"s3","_HHAA2_s3_1","1","1","none"
"1","1",21,8.52758512988294,"s3","_HHAA2_s3_1","1","1","none"
"1","1",22,8.01003382147428,"s3","_HHAA2_s3_1","1","1","none"
"1","1",23,7.1777441548038,"s3","_HHAA2_s3_1","1","1","none"
"1","1",24,6.24258115868997,"s3","_HHAA2_s3_1","1","1","none"
"1","1",25,5.13020898447326,"s3","_HHAA2_s3_1","1","1","none"
"1","1",26,3.96271049168331,"s3","_HHAA2_s3_1","1","1","none"
"1","1",27,2.79958276542175,"s3","_HHAA2_s3_1","1","1","none"
