"time","f0_norm","Syllable1","Syllable2","Normtime","speaker","pitch_con"
12,-33.2680901069828,"1","1","_HHAA1","s2","_HHAA1_s2_1"
13,-13.4310861337658,"1","1","_HHAA1","s2","_HHAA1_s2_1"
14,1.73496471312387,"1","1","_HHAA1","s2","_HHAA1_s2_1"
15,15.8111819420362,"1","1","_HHAA1","s2","_HHAA1_s2_1"
16,27.3733242096234,"1","1","_HHAA1","s2","_HHAA1_s2_1"
17,38.6285468480946,"1","1","_HHAA1","s2","_HHAA1_s2_1"
18,49.6300069043282,"1","1","_HHAA1","s2","_HHAA1_s2_1"
19,61.4059063336972,"1","1","_HHAA1","s2","_HHAA1_s2_1"
20,73.666579488947,"1","1","_HHAA1","s2","_HHAA1_s2_1"
21,88.628715006681,"1","1","_HHAA1","s2","_HHAA1_s2_1"
22,104.432024339854,"1","1","_HHAA1","s2","_HHAA1_s2_1"
23,121.468568810094,"1","1","_HHAA1","s2","_HHAA1_s2_1"
24,137.002294524734,"1","1","_HHAA1","s2","_HHAA1_s2_1"
25,151.816561030053,"1","1","_HHAA1","s2","_HHAA1_s2_1"
26,163.67939709847,"1","1","_HHAA1","s2","_HHAA1_s2_1"
27,173.710060094887,"1","1","_HHAA1","s2","_HHAA1_s2_1"
28,178.974839273254,"1","1","_HHAA1","s2","_HHAA1_s2_1"
29,180.737997494668,"1","1","_HHAA1","s2","_HHAA1_s2_1"
30,179.620801997338,"1","1","_HHAA1","s2","_HHAA1_s2_1"
1,87.4861340550201,"1","1","_HHAA1","s2","_HHAA1_s2_2"
2,80.4988351113641,"1","1","_HHAA1","s2","_HHAA1_s2_2"
3,73.6784940448226,"1","1","_HHAA1","s2","_HHAA1_s2_2"
4,67.0416997845493,"1","1","_HHAA1","s2","_HHAA1_s2_2"
5,60.9074115037661,"1","1","_HHAA1","s2","_HHAA1_s2_2"
6,54.4103012916048,"1","1","_HHAA1","s2","_HHAA1_s2_2"
7,47.4398954777409,"1","1","_HHAA1","s2","_HHAA1_s2_2"
8,38.3765921813902,"1","1","_HHAA1","s2","_HHAA1_s2_2"
9,28.392325070902,"1","1","_HHAA1","s2","_HHAA1_s2_2"
10,17.3201164287418,"1","1","_HHAA1","s2","_HHAA1_s2_2"
11,6.12090052557528,"1","1","_HHAA1","s2","_HHAA1_s2_2"
12,-4.55256555647406,"1","1","_HHAA1","s2","_HHAA1_s2_2"
13,-14.2781419523158,"1","1","_HHAA1","s2","_HHAA1_s2_2"
14,-20.8578048023523,"1","1","_HHAA1","s2","_HHAA1_s2_2"
15,-25.7952484554894,"1","1","_HHAA1","s2","_HHAA1_s2_2"
16,-28.537932101942,"1","1","_HHAA1","s2","_HHAA1_s2_2"
17,-29.4840120478057,"1","1","_HHAA1","s2","_HHAA1_s2_2"
18,-29.7010688688824,"1","1","_HHAA1","s2","_HHAA1_s2_2"
19,-29.1422785179029,"1","1","_HHAA1","s2","_HHAA1_s2_2"
20,-29.0402621167132,"1","1","_HHAA1","s2","_HHAA1_s2_2"
21,-29.2282516362914,"1","1","_HHAA1","s2","_HHAA1_s2_2"
22,-29.8685213432962,"1","1","_HHAA1","s2","_HHAA1_s2_2"
23,-31.2207978166,"1","1","_HHAA1","s2","_HHAA1_s2_2"
24,-33.0426479548414,"1","1","_HHAA1","s2","_HHAA1_s2_2"
25,-35.631415956273,"1","1","_HHAA1","s2","_HHAA1_s2_2"
26,-36.1565478395792,"1","1","_HHAA1","s2","_HHAA1_s2_2"
27,-36.1709140502201,"1","1","_HHAA1","s2","_HHAA1_s2_2"
28,-37.4679755879374,"1","1","_HHAA1","s2","_HHAA1_s2_2"
29,-39.6539223220873,"1","1","_HHAA1","s2","_HHAA1_s2_2"
30,-41.8423965484758,"1","1","_HHAA1","s2","_HHAA1_s2_2"
1,12.4623003359434,"1","1","_HHAA1","s3","_HHAA1_s3_1"
2,9.84668275465879,"1","1","_HHAA1","s3","_HHAA1_s3_1"
3,7.42978096248612,"1","1","_HHAA1","s3","_HHAA1_s3_1"
4,5.30963988273629,"1","1","_HHAA1","s3","_HHAA1_s3_1"
5,4.20776789315528,"1","1","_HHAA1","s3","_HHAA1_s3_1"
6,2.60733952026953,"1","1","_HHAA1","s3","_HHAA1_s3_1"
7,1.03256616661542,"1","1","_HHAA1","s3","_HHAA1_s3_1"
8,0.262991867514529,"1","1","_HHAA1","s3","_HHAA1_s3_1"
9,0.414721015437408,"1","1","_HHAA1","s3","_HHAA1_s3_1"
10,1.07251296511527,"1","1","_HHAA1","s3","_HHAA1_s3_1"
11,2.21989923417209,"1","1","_HHAA1","s3","_HHAA1_s3_1"
12,3.73491995381596,"1","1","_HHAA1","s3","_HHAA1_s3_1"
13,5.30417376921059,"1","1","_HHAA1","s3","_HHAA1_s3_1"
14,6.88421316432186,"1","1","_HHAA1","s3","_HHAA1_s3_1"
15,8.15637885013916,"1","1","_HHAA1","s3","_HHAA1_s3_1"
16,8.89350729671946,"1","1","_HHAA1","s3","_HHAA1_s3_1"
17,9.07985840796755,"1","1","_HHAA1","s3","_HHAA1_s3_1"
18,8.25079263951557,"1","1","_HHAA1","s3","_HHAA1_s3_1"
19,6.4268697200273,"1","1","_HHAA1","s3","_HHAA1_s3_1"
20,3.91709992217284,"1","1","_HHAA1","s3","_HHAA1_s3_1"
21,0.633000502644563,"1","1","_HHAA1","s3","_HHAA1_s3_1"
22,-2.97234551599831,"1","1","_HHAA1","s3","_HHAA1_s3_1"
23,-6.47267373540944,"1","1","_HHAA1","s3","_HHAA1_s3_1"
24,-9.74039694872067,"1","1","_HHAA1","s3","_HHAA1_s3_1"
25,-12.0685742950711,"1","1","_HHAA1","s3","_HHAA1_s3_1"
26,-13.8812250763506,"1","1","_HHAA1","s3","_HHAA1_s3_1"
27,-15.1983360131062,"1","1","_HHAA1","s3","_HHAA1_s3_1"
28,-15.8742609090616,"1","1","_HHAA1","s3","_HHAA1_s3_1"
29,-16.0811153270581,"1","1","_HHAA1","s3","_HHAA1_s3_1"
30,-15.8580890038634,"1","1","_HHAA1","s3","_HHAA1_s3_1"
1,-16.1881681888194,"1","1","_HHAA1","s3","_HHAA1_s3_2"
2,-14.8383049565953,"1","1","_HHAA1","s3","_HHAA1_s3_2"
3,-13.3247712533489,"1","1","_HHAA1","s3","_HHAA1_s3_2"
4,-11.1856061694079,"1","1","_HHAA1","s3","_HHAA1_s3_2"
5,-8.91417750570577,"1","1","_HHAA1","s3","_HHAA1_s3_2"
6,-6.45642584159191,"1","1","_HHAA1","s3","_HHAA1_s3_2"
7,-4.05338431211635,"1","1","_HHAA1","s3","_HHAA1_s3_2"
8,-1.68454464866659,"1","1","_HHAA1","s3","_HHAA1_s3_2"
9,0.306099965181147,"1","1","_HHAA1","s3","_HHAA1_s3_2"
10,2.19195891820868,"1","1","_HHAA1","s3","_HHAA1_s3_2"
11,3.4279440782866,"1","1","_HHAA1","s3","_HHAA1_s3_2"
12,4.52005225186485,"1","1","_HHAA1","s3","_HHAA1_s3_2"
13,5.17647960052818,"1","1","_HHAA1","s3","_HHAA1_s3_2"
14,5.65489342766455,"1","1","_HHAA1","s3","_HHAA1_s3_2"
15,5.92045384650464,"1","1","_HHAA1","s3","_HHAA1_s3_2"
16,6.04556083993771,"1","1","_HHAA1","s3","_HHAA1_s3_2"
