time,pitch,pitch_con
0.619448567,289.4853738,shuo_1_2
0.633084931,289.4295742,shuo_1_2
0.646721295,306.1193268,shuo_1_2
0.660357658,313.2319602,shuo_1_2
0.673994022,316.5396368,shuo_1_2
0.687630385,318.9618159,shuo_1_2
0.701266749,322.0979003,shuo_1_2
0.714903113,326.9407189,shuo_1_2
0.728539476,333.2874232,shuo_1_2
0.74217584,336.1964108,shuo_1_2
0.755812204,337.7383272,shuo_1_2
0.769448567,339.3289229,shuo_1_2
0.783084931,340.526132,shuo_1_2
0.796721295,342.0354619,shuo_1_2
0.810357658,344.2962511,shuo_1_2
0.823994022,346.8264355,shuo_1_2
0.837630385,350.5554999,shuo_1_2
0.851266749,354.0442691,shuo_1_2
0.864903113,353.8652017,shuo_1_2
0.878539476,346.5530308,shuo_1_2
1.055812204,234.8579394,shuo_4_4
1.069448567,229.0164158,shuo_4_4
1.083084931,224.3707947,shuo_4_4
1.096721295,222.3211631,shuo_4_4
1.110357658,218.8159931,shuo_4_4
1.123994022,210.566812,shuo_4_4
1.137630385,201.785237,shuo_4_4
1.151266749,182.0737597,shuo_4_4
1.164903113,172.2953698,shuo_4_4
1.178539476,164.2401478,shuo_4_4
1.205812204,446.3740862,shuo_4_4
1.219448567,425.7056927,shuo_4_4
1.233084931,421.0550597,shuo_4_4
1.246721295,434.1964525,shuo_4_4
1.260357658,428.731162,shuo_4_4
1.273994022,438.5797633,shuo_4_4
1.287630385,473.8676511,shuo_4_4
1.301266749,506.3448935,shuo_4_4
1.928539476,222.4137874,shuo_2_6
1.94217584,227.0966474,shuo_2_6
1.955812204,230.3017354,shuo_2_6
1.969448567,232.3762118,shuo_2_6
1.983084931,235.3810749,shuo_2_6
1.996721295,239.7336596,shuo_2_6
2.010357658,244.3346094,shuo_2_6
2.023994022,247.9060656,shuo_2_6
2.037630385,250.8784608,shuo_2_6
2.051266749,253.8449724,shuo_2_6
2.064903113,257.2475099,shuo_2_6
2.078539476,261.1132603,shuo_2_6
2.09217584,268.5004687,shuo_2_6
2.105812204,275.4147242,shuo_2_6
2.119448567,295.7901442,shuo_2_6
2.133084931,308.6220647,shuo_2_6
2.146721295,314.6364339,shuo_2_6
2.405812204,224.9732887,shuo_2_8
2.419448567,222.3189294,shuo_2_8
2.433084931,221.1140964,shuo_2_8
2.446721295,220.8936815,shuo_2_8
2.460357658,220.4104289,shuo_2_8
2.473994022,221.3650013,shuo_2_8
2.487630385,222.3499204,shuo_2_8
2.501266749,223.2370852,shuo_2_8
2.514903113,223.5110018,shuo_2_8
2.528539476,223.0710687,shuo_2_8
2.54217584,222.444667,shuo_2_8
2.555812204,221.9156528,shuo_2_8
2.569448567,220.9238034,shuo_2_8
2.583084931,220.8041786,shuo_2_8
2.596721295,221.8408641,shuo_2_8
2.610357658,224.9424511,shuo_2_8
2.623994022,230.8883626,shuo_2_8
2.637630385,232.2766239,shuo_2_8
2.651266749,244.2036326,shuo_2_8
2.664903113,261.882192,shuo_2_8
2.678539476,268.4321991,shuo_2_8
2.69217584,272.8781938,shuo_2_8
2.705812204,277.0132154,shuo_2_8
2.719448567,283.701469,shuo_2_8
3.387630385,348.5736621,shuo_4_11
3.401266749,361.2275895,shuo_4_11
3.414903113,365.3196589,shuo_4_11
3.428539476,366.1788158,shuo_4_11
3.44217584,358.144121,shuo_4_11
3.455812204,347.3912127,shuo_4_11
3.469448567,331.0651356,shuo_4_11
3.483084931,311.7476123,shuo_4_11
3.496721295,295.9532596,shuo_4_11
3.510357658,279.3675515,shuo_4_11
3.523994022,263.1647859,shuo_4_11
3.537630385,248.3723636,shuo_4_11
3.551266749,236.1383623,shuo_4_11
3.564903113,226.0057803,shuo_4_11
3.578539476,220.473468,shuo_4_11
3.59217584,218.9083284,shuo_4_11
3.605812204,221.9115132,shuo_4_11
3.619448567,224.2519057,shuo_4_11
3.633084931,224.5468482,shuo_1_12
3.646721295,225.2669992,shuo_1_12
3.660357658,227.7582612,shuo_1_12
3.673994022,231.618296,shuo_1_12
3.687630385,237.7354445,shuo_1_12
3.701266749,248.8286749,shuo_1_12
3.714903113,262.043904,shuo_1_12
3.728539476,270.8159116,shuo_1_12
3.74217584,279.1803144,shuo_1_12
3.755812204,291.6221604,shuo_1_12
3.769448567,303.4042029,shuo_1_12
3.783084931,315.1282903,shuo_1_12
3.796721295,320.7662581,shuo_1_12
3.810357658,323.0772795,shuo_1_12
