3RD,2ND,1ST,INTERCEPT,PITCH_CON,ORDER,slope,height,strength,duration,tone,pitch_con,numPoints
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-41985.89725,16616.82861,-1675.149695,316.9255554,meng_2_2,2,-47,1.184879819,41,138.8407474,2,meng_2_2,11
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-61135.41341,62809.73621,-21356.16922,2647.140475,meng_3_4,4,29,-0.943493398,80,102.6078846,3,meng_3_4,8
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
-58037.00475,121572.6329,-84800.39008,19973.3077,meng_1_7,7,-31,0.603505699,80,87.99871775,1,meng_1_7,7
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
7134.677886,-18718.80395,16078.83269,-4264.632421,meng_4_9,9,-18,-2.236292331,60,211.6428489,4,meng_4_9,16
